Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Bytebeam,$3.00,13/05/2022,Bengaluru,Agritech,Pre-Seed,https://inc42.com/buzz/b2b-startup-bytebeam-raises-funding-to-simplify-iot-applications/,AdvantEdge VC backed by the Motherson Group;Phanindra Sama
Fyllo,$2.00,13/05/2022,Bengaluru,Agritech,,https://inc42.com/buzz/agritech-startup-fyllo-secures-funding-led-by-triveni-trust-ninjacart-ian/,Triveni Trust;Ninjacart;IAN;Triveni Trusts;AI provides timely advice to farmers
Irreverent Labs,$40.00,13/05/2022,India,Gaming,,https://inc42.com/buzz/sonam-kapoor-invests-in-gaming-startup-irreverent-labs-metaverse-platform-mechafightclub/,
Mn,$396.00,14/05/2022,Bengaluru,EV & Mobility,Series E,https://inc42.com/buzz/funding-galore-over-396-mn-raised-by-indian-startups-this-week/,
ASL,$5.00,16/05/2022,India,General,Series B,https://inc42.com/buzz/asl-bags-5-mn-to-help-students-with-their-overseas-education-journey/,Ideal Cures founder Suresh Pareek
Karbon Card,$6.59,17/05/2022,Bengaluru,Fintech,Series A,https://inc42.com/buzz/karbon-card-raises-inr-55-cr-debt-finance-from-northern-arc-ucic-oxyzo/,Olive Tree Capital;Harmony;Avenir Growth Capital;SoftBank
Innoviti,$10.00,18/05/2022,Bengaluru,Fintech,Series D,https://inc42.com/buzz/fintech-giant-innoviti-bags-10-mn-from-netherlands-fmo/,
Questbook,$8.30,19/05/2022,India,Edtech,Series A,https://inc42.com/buzz/web3-startup-questbook-raises-8-3-mn-help-web3-developers-access-capital/,Lemniscap;Alameda Research;Dragonfly;Hashed;Polygon;Balaji Srinivasan;Raj Gokal of Solana;Arjun Sethi of Tribe Capital;Maneesh Sharma of GitHub;Coinbase Ventures
HobSpace,$4.50,18/05/2022,Mumbai,Edtech,Pre-Series A,https://inc42.com/buzz/chess-academy-hobspace-bags-4-5-mn-in-pre-series-a-funding-eyes-global-expansion/,Mankekar Family Office;Artha Venture Fund;Siddharth Shah;API Holdings’ Dharmil Sheth
GeoIQ,$2.25,19/05/2022,India,Deeptech & AI,,https://inc42.com/buzz/geoiq-raises-funds-to-help-companies-identify-consumer-patterns-using-geo-spatial-data/,Venture Catalysts;IPV;Kayenne;LetsVenture among others
Wint Wealth,$15.00,19/05/2022,Bengaluru,General,Series A,https://entrackr.com/2022/05/exclusive-wint-wealth-raises-nearly-15-mn-led-by-eight-roads-ventures/,Eight Roads Ventures;Billion Brains;3one4 Capital;Unitary Fund;Blume Ventures;AngelList;JJ Beshara Angel;Better Advisor also joined the Series A financing round
SustVest,$3.00,19/05/2022,Gurugram,EV & Mobility,,https://entrackr.com/2022/05/sustvest-raises-160k-from-angel-investors/,Paurush Sonkar;Founder;CEO;Stallions Capital;Balaji Vaidyanathan;Sandeep Shetty;Seasoned Early stage investors
BlissClub,$15.00,18/05/2022,Bengaluru,D2C,Series A,https://entrackr.com/2022/05/d2c-startup-blissclub-raises-15-mn-in-series-a-round/,Eight Roads;Elevation Capital;Eight Roads Ventures;Mamaearth’s co-founder Ghazal Alagh;Licious’ co-founders Vivek Gupta;Abhay Hanjura;SoftBank executives Sumer Juneja;Munish Varma;Shopif’s executive Brennan Loh;Swiggy’s CEO Sriharsha Majety
Ninjacart,$8.36,18/05/2022,Bengaluru,Agritech,Series D,https://entrackr.com/2022/05/exclusive-ninjacart-raises-fresh-money-from-two-new-investors/,
Fashinza,$100.00,17/05/2022,India,Deeptech & AI,Series A,https://entrackr.com/2022/05/fashinza-raises-100-mn-led-by-prosus-and-westbridge/,Prosus;WestBridge;Prosus Ventures;Accel;Elevation Capital in August last year;Elevation;ADQ
Melorra,$16.00,17/05/2022,India,D2C,Series D,https://entrackr.com/2022/05/melorra-raises-16-mn-in-ongoing-series-d-round/,
Smytten,$11.98,17/05/2022,India,Deeptech & AI,Series B,https://entrackr.com/2022/05/smytten-raises-rs-100-cr-in-pre-series-b-round/,Fireside Ventures;Roots Ventures;Sharrp
Ather Energy,$395.70,14/05/2022,India,Fintech,Series B,https://entrackr.com/2022/05/funding-and-acquisitions-in-indian-startups-this-week-09-may-14-may/,
GreyOrange,$110.00,19/05/2022,India,Robotics,,https://entrackr.com/2022/05/tiger-global-backed-greyorange-raises-110-mn-round/,Mithril Capital Management;BlackRock
WealthDesk and OpenQ,$75.00,18/05/2022,India,Fintech,Acquisition,https://entrackr.com/2022/05/phonepe-acquires-wealthdesk-and-openq-for-75-mn/,PhonePe
Coinshift,$15.00,18/05/2022,India,Crypto,Series A,https://entrackr.com/2022/05/tiger-global-backs-treasury-management-startup-coinshift/,Tiger Global;Sequoia Capital India;Alameda Ventures;Spartan Group;Ethereal Ventures;Polygon Studios
Neso Brands,$100.00,16/05/2022,Singapore,Eyewear,Seed,https://entrackr.com/2022/05/lenskart-subsidiary-neso-brands-raises-100-mn-in-seed-round/,KKR;Softbank;Alpha Wave Global;Temasek
Dr Sheth's,$3.35,16/05/2022,India,D2C,Acquisition,https://entrackr.com/2022/05/mamaearths-parent-acquires-majority-stake-in-dr-sheths/,Honasa Consumer
AgroStar,$10.00,13/05/2022,Pune,Agritech,Series D,https://entrackr.com/2022/05/exclusive-agritech-startup-agrostars-valuation-surges-43-in-new-tranche/,Schroders Capital;Evolvence;Hero Enterprise;CDC;Rabo Frontier;Bertelsmann;Accel;Chiratae
Dineout,,13/05/2022,India,Foodtech,Acquisition,https://entrackr.com/2022/05/swiggy-acquires-times-internet-backed-dineout/,Swiggy
Ednovate,,13/05/2022,Mumbai,Edtech,Series A,https://inc42.com/buzz/edtech-startup-ednovate-secures-investment-to-roll-out-pan-india-expansion/,Dr. Vinay Jain (Witty Group of Institutions);Ajay Sarupria;Kaushik Mehta
Dr. Sheth's,$3.35,16/05/2022,India,Ecommerce,Acquisition,https://inc42.com/buzz/mamaearth-acquires-majority-stake-in-skincare-brand-dr-sheths/,Honasa Consumer (Mamaearth)
WOW Skin Science,,18/05/2022,India,Ecommerce,Undisclosed,https://inc42.com/buzz/personal-care-brand-wow-skin-science-secures-investment-to-widen-product-portfolio/,GIC
GreyOrange,$110.00,18/05/2022,India,Logistics,,https://inc42.com/buzz/indian-robotics-firm-greyorange-raises-110-mn-in-a-funding-round/,Mithril Capital Management;BlackRock
Maxwell Energy Systems (MESPL),$40.00,19/05/2022,Mumbai,Clean Tech,Acquisition,https://inc42.com/buzz/endurance-tech-acquires-cleantech-startup-ion-energys-advance-electronics-unit-for-40-mn/,Endurance Technologies
Repos Energy,$0.67,17/05/2022,Pune,Energy,Pre-Series A,https://inc42.com/buzz/ratan-tata-backs-energy-distribution-startup-repos-energy/,Ratan Tata
