Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Vegh,$5.00,04/07/2023,India,EV & Mobility,,https://inc42.com/buzz/ev-startup-vegh-bags-5-mn-funding-to-launch-high-speed-escooters/,
Frigate,$1.50,04/07/2023,India,General,Pre-Seed,https://inc42.com/buzz/frigate-raises-funding-to-make-manufacturing-easy-for-industrial-oems/,Arali Ventures;Java Capital;Capital A
Battery Smart,$33.00,06/07/2023,Kanpur,EV & Mobility,Series B,https://inc42.com/buzz/ev-startup-battery-smart-secures-33-mn-funding-from-tiger-blume/,Battery Smart’s existing investors;Tiger Global;Blume Ventures
InsideFPV,$0.33,06/07/2023,India,General,Series A,https://entrackr.com/2023/07/drone-manufacturer-insidefpv-raises-seed-round-led-by-ipv/,IPV;Inflection Point Ventures;Garuda raised
Freakins,$4.00,05/07/2023,Pune,General,Pre-Series A,https://yourstory.com/2023/07/startup-news-and-updates-daily-roundup-july-5-2023,Matrix Partners India;Blume Ventures;Navin Agarwal;Chakradhar Gade;Utkrishta Kumar;Asish Mohapatra
Cavli Wireless,$10.00,05/07/2023,Kochi,General,Series A,https://yourstory.com/2023/07/cavli-wireless-10-million-funding-chiratae-qualcomm-ventures,Chiratae;Qualcomm Ventures;Chiratae Ventures
GIVA,$32.34,05/07/2023,Bengaluru,General,Series B,https://yourstory.com/2023/07/online-jewellery-brand-giva-raises-rs-200-crore-premji-invest,Azim Premji’s family office;Premji Invest;Alteria Capital;A91 Partners
Smartstaff,$6.20,04/07/2023,India,General,Series A,https://yourstory.com/2023/07/funding-smartstaff-62-million-series-a-nexus-venture-partners,
KaarTech,$30.00,03/07/2023,Chennai,General,,https://yourstory.com/2023/07/a91-partners-invests-30-million-consulting-startup-company-kaartech,
Leverage Edu,$40.00,03/07/2023,Noida,Edtech,Series B,https://yourstory.com/2023/07/leverage-edu-secure-40-million-in-series-c-funding-from-ets,Educational Testing Service (ETS);Kaizenvest PE;DSP Mutual Fund;Tomorrow Capital;DSG Consumer Partners;Trifecta Capital
Lendingkart,$24.00,01/07/2023,Bengaluru,Fintech,Debt,https://inc42.com/buzz/lendingkart-to-scapia-indian-startups-raised-65-mn-this-week/,EvolutionX Debt Capital
ZestMoney,$6.00,04/07/2023,Bengaluru,Fintech,,https://inc42.com/buzz/beleaguered-fintech-zestmoney-secures-funding-from-existing-investors-to-keep-afloat/,Quona Capital;Zip;Omidyar Network India;Flourish VC;Scarlet Digital
KidzByte,,04/07/2023,India,Edtech,Acquisition,https://inc42.com/buzz/digital-entertainment-platform-jetsynthesys-acquires-kids-educational-startup-kidzbyte/,JetSynthesys
ZuAI,$0.48,05/07/2023,Bengaluru,Edtech,Seed,https://inc42.com/buzz/generative-ai-powered-edtech-startup-zuai-bags-funding-to-offer-personalised-learning-experience/,Prime Venture Partners;100X.VC
Knocksense,,05/07/2023,Lucknow,Media & Entertainment,Pre-Series A,https://inc42.com/buzz/singer-lucky-ali-backs-digital-content-startup-knocksense/,Lucky Ali;Nitish Mittersain;Mohit Satyanand
Toprankers,,06/07/2023,Indore,Edtech,Acquisition,https://inc42.com/buzz/toprankers-acquires-legal-test-prep-platform-the-lex-guru/,Toprankers
OfficeBanao,,06/07/2023,Gurugram,Proptech,Undisclosed,https://yourstory.com/2023/07/startup-news-updates-daily-roundup-funding-investment,Ajit Mohan;Ramesh Nair;Apurva Chamaria
50Fin,$0.51,04/07/2023,India,Fintech,Pre-Seed,https://yourstory.com/2023/07/startup-news-and-updates-daily-roundup-july-4-2023,100X.VC;Keynote Capital;Arun Venkatachalam
NDR Warehousing,$59.88,03/07/2023,Chennai,Logistics Infrastructure,,https://yourstory.com/2023/07/investcorp-follow-on-investment-ndr-warehousing-logistics-infra,Investcorp
