Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Kapture CX,$4.00,27/07/2023,Bengaluru,Deeptech & AI,Series A,https://inc42.com/buzz/kapture-cx-4-mn-ai-powered-consumer-experience-enterprises/,Cactus Venture Partners
LeRemitt,$1.25,27/07/2023,India,Fintech,Seed,https://inc42.com/buzz/fintech-startup-leremitt-secures-funding-to-simplify-cross-border-transactions-for-msmes/,Axilor Ventures;Ram Govindarajan;Sumit Agarwal
Dil Foods,$2.00,28/07/2023,Bengaluru,General,Pre-Series A,https://entrackr.com/2023/07/virtual-restaurant-operator-dil-foods-closes-pre-series-a-round/,V3 Ventures;Mount Judi Ventures
Selligion Technologies,$0.60,27/07/2023,India,D2C,Pre-Series A,https://entrackr.com/2023/07/selligion-technologies-raises-rs-5-cr-led-by-malpani-ventures/,Malpani Ventures;Prashant Priya
Beyobo,$0.66,27/07/2023,Hyderabad,General,Pre-Series A,https://entrackr.com/2023/07/beyobo-raises-rs-5-5-cr-in-pre-series-a-round-led-by-ipv/,IPV;Inflection Point Ventures
Wiom,$17.00,27/07/2023,Delhi,General,Series A,https://entrackr.com/2023/07/telecom-startup-wiom-secures-17-mn-in-series-a-led-by-rtp-global/,RTP Global;YourNest;Omidyar Network India;Global Brain;Blume Founders Fund;Alteria Capital;Stride Ventures;Stride One;9 Unicorns
Beyond Snack,$3.50,27/07/2023,India,Fintech,Pre-Series A,https://entrackr.com/2023/07/kerela-based-beyond-snack-raises-3-5-mn-in-pre-series-a-round/,National Bank for Agriculture;Rural Development (NABARD);NABVENTURES invests in food
Kandle,$1.70,25/07/2023,India,Gaming,Seed,https://entrackr.com/2023/07/kandle-raises-1-7-mn-in-seed-funding-led-by-saama/,Saama;Saama Capital;PointOne Capital;Cloud Capital;Good Capital;Founder’s Room;Seeders Fund;Sumit Gupta (CEO- CoinDCX)
Ethereal Machines,$7.30,24/07/2023,India,General,,https://entrackr.com/2023/07/ethereal-machines-raises-7-3-mn-from-peak-xvs-surge-and-others/,Peak XV’s Surge;Blume Ventures;Lip-Bu Tan
Effectiv,$4.50,26/07/2023,India,Deeptech & AI,Seed,https://yourstory.com/2023/07/fraud-risk-management-startup-effectiv-seed-funding-better-tomorrow,Better Tomorrow Ventures;Accel
Dil Foods,$2.00,27/07/2023,Bengaluru,General,Pre-Series A,https://yourstory.com/2023/07/startup-news-updates-daily-roundup-july-27-2023,V3 Ventures;Mount Judi Ventures
EVINDIA,$0.15,25/07/2023,Ahmedabad,EV & Mobility,Pre-Seed,https://yourstory.com/2023/07/startup-news-and-updates-daily-roundup-july-25-2023,Saama;PointOne Capital;Cloud Capital;Good Capital;Founder’s Room;Seeders Fund;Sumit Gupta (
Ethereal Machines,$7.30,25/07/2023,India,General,,https://yourstory.com/2023/07/ethereal-machines-funding-surge-blume-ventures,Peak XV's Surge
Newtral.io,$0.08,28/07/2023,Bengaluru,Climate Tech,Pre-Seed,https://entrackr.com/2023/07/pedalstart-leads-pre-seed-round-in-climate-tech-startup-newtral-io/,PedalStart
Plotch.ai,,26/07/2023,India,ONDC,Pre-Seed,https://entrackr.com/2023/07/plotch-ai-raises-pre-seed-funding-from-antler-peak-xv-others/,Antler India;Peak XV;Global Founders Capital;Apoletto
Minifeel,$0.36,25/07/2023,Mumbai,D2C,Pre-Seed,https://entrackr.com/2023/07/100x-vc-leads-rs-3-cr-round-in-d2c-startup-minifeel/,100X.VC;Vijay Jain;Ajay Mokariya;Ganesh Iyer;Yash Kotak;Niraj Chhajer
RenewBuy,$40.00,22/07/2023,India,Fintech,Series D,https://inc42.com/buzz/from-renewbuy-to-ati-motors-indian-startups-raised-111-mn-this-week/,Dai-ichi Life Holdings
GreenCell Mobility,$359.28,24/07/2023,India,Electric Mobility,Debt,https://inc42.com/buzz/greencell-mobility-bags-inr-3000-cr-debt-funding-from-rec-to-acquire-3000-e-buses/,REC Ltd
fundgini.com,,25/07/2023,India,Fintech,Acquisition,https://inc42.com/buzz/pantomath-acquires-75-stake-in-ai-based-deal-making-platform-fundgini-com/,Pantomath Financial Services Group
Vinculum Group,,25/07/2023,India,Enterprise Tech,Series C,https://inc42.com/buzz/vinculum-group-secures-first-tranche-series-c-funding/,Delhivery;Accel Partners;Recur Club
Plix,$44.19,27/07/2023,India,Ecommerce,Acquisition,https://inc42.com/buzz/marico-to-acquire-a-majority-stake-in-d2c-nutrition-brand-plix-for-inr-369-cr/,Marico
Grano69 Beverages,$1.02,26/07/2023,India,Beverages,,https://yourstory.com/2023/07/startup-news-and-updates-daily-roundup-july-26-2023,Mumbai Angels;Hyderabad Angels;Finnvolve;Speed Fund;AngelList India
Marico,,26/07/2023,India,Wellness,Acquisition,https://yourstory.com/2023/07/marico-acquires-majority-stake-plix-plant-based-brand-wellness,Marico
Vinculum Group,,27/07/2023,India,SaaS,Series C,https://yourstory.com/2023/07/vinculum-group-completes-first-tranche-series-c-funding,Delhivery;Accel Partners;Recur Club
GreenCell Mobility,$359.28,25/07/2023,India,Electric Vehicle,Debt,https://yourstory.com/2023/07/greencell-mobility-raises-rs-3-000cr-in-debt-from-rec,Rural Electrification Corporation
