Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Meru Cabs,$35.93,16/03/2015,Mumbai,General,Acquisition,https://inc42.com/buzz/meru-cabs-raises-inr-300-cr-from-india-value-fund-another-100-mn-coming-soon/,India Value Fund Advisors (IVF);PEs
Where,$0.14,18/03/2015,Ahmedabad,General,Seed,https://inc42.com/buzz/location-sharing-startup-wwhere-raises-inr-1-2-cr-in-seed-funding-from-india-us-singapore-based-angels/,
Moonfrog Labs,$15.00,12/03/2015,Bengaluru,Media & Entertainment,Series A,https://inc42.com/buzz/bangalore-based-game-developer-startup-moonfrog-labs-raises-15-mn-from-tiger-global-sequoia-capital/,Tiger Global;Sequoia Capital
Foodpanda,$110.00,12/03/2015,India,Foodtech,,https://inc42.com/buzz/rocket-internet-backed-foodpanda-gets-whooping-110-mn-funding/,Rocket Internet AG
DiabetOmics,$4.00,13/03/2015,India,Healthtech,Series C,https://inc42.com/buzz/medical-diagnostics-startup-diabetomics-raises-4-mn-in-funding-from-ventureast/,Ventureast;K.I. Varaprasad Reddy
Daily Rounds,$0.36,13/03/2015,Bengaluru,Healthtech,Seed,https://inc42.com/buzz/kae-capital-gsf-india-teruhide-sato-invest-inr-3-cr-in-daily-rounds/,Kae Capital;Teruhide Sato;GSF
NestAway,$0.96,16/03/2015,Bengaluru,Real Estate Tech,,https://inc42.com/buzz/nestaway-funding/,IDG Ventures;Naveen Tewari
TheBetterIndia,$0.12,16/03/2015,Bengaluru,Media & Entertainment,,https://inc42.com/buzz/news-startup-thebetterindia-raises-inr-1-cr-from-intellecap-impact-investment/,Intellecap Impact Investment Network;Raveen Sastry
Gojavas,$23.95,17/03/2015,India,Logistics,,https://inc42.com/buzz/has-snapdeal-invested-in-logistics-firm-gojavas/,Snapdeal
Drivestream,$5.00,18/03/2015,Chennai,SaaS,,https://inc42.com/buzz/wipro-invests-5-mn-in-saas-startup-drivestream-for-a-minority-stake/,Wipro
Process 9,,12/03/2015,Gurgaon,Deeptech & AI,Undisclosed,https://inc42.com/buzz/gurgaon-based-online-language-translation-startup-process-9-secures-funding-from-ian-ventures-alok-sharma/,IAN Ventures;Alok Sharma;Kris Gopalakrishnan;Saurabh Srivastava;Ajai Chowdhry
Qyk,,13/03/2015,Bengaluru,Consumer Services,Undisclosed,https://inc42.com/buzz/bangalore-based-qyk-raises-funding-from-zishaan-hayath-abhishek-goyal-others/,Zishaan Hayath;Abhishek Goyal;Sahil Barua
Paytm,,13/03/2015,India,Fintech,Undisclosed,https://inc42.com/buzz/guess-the-company-that-ratan-tata-has-just-invested-in/,Ratan Tata
Slyds,$0.06,18/03/2015,India,Design,Seed,https://yourstory.com/2015/03/slyds-funding-from-bonito-designs,Bonito Designs
Orobind,$0.20,12/03/2015,Bengaluru,Health & Fitness,Seed,https://yourstory.com/2015/03/orobind-angel-funding,Harpreet Singh Grover;Zishaan Hayath;Powai Lake Ventures;Gaurav Munjal
FreeCharge,$450.00,12/03/2015,India,Fintech,Acquisition,https://inc42.com/buzz/rumormill-acquisition-spree-snapdeal-freecharge-flipkart-dsyn-technologies/,Snapdeal
Process Nine Technologies,,17/03/2015,Gurgaon,Deeptech & AI,Undisclosed,https://inc42.com/buzz/indian-angel-network-launches-small-ticket-funding-program-to-invest-inr-25-lakh-in-early-stage-startups/,Indian Angel Network
