Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
IppoPay,$2.10,12/01/2022,Chennai,Fintech,Seed,https://inc42.com/buzz/neobank-startup-ippopay-raises-funds-from-coinbase-ventures-others-to-launch-bnpl-services/,
Bn,$1300.00,08/01/2022,Bengaluru,E-commerce,Acquisition,https://inc42.com/infocus/funding-galore/funding-galore-over-1-3-bn-raised-by-indian-startups-this-week-3/,
Zeda.io,$1.20,11/01/2022,Bengaluru,General,Seed,https://inc42.com/buzz/zeda-io-bags-funding-to-build-all-in-one-product-management-platform/,
Recykal,$22.00,11/01/2022,Hyderabad,SaaS,,https://inc42.com/buzz/recykal-bags-22-mn-from-morgan-stanley-to-build-hyperlocal-waste-processing-infrastructure/,Morgan Stanley India;Singapore-based Circulate Capital;Vellayan Subbiah;Arun Venkatachalam
Kaleidofin,$10.00,12/01/2022,India,Fintech,Series B,https://inc42.com/buzz/fintech-startup-kaleidofin-raises-10-mn-to-serve-underbanked-segment/,Michael;Susan Dell Foundation;Oikocredit;Flourish Ventures;Omidyar Network;Blume Ventures;Bharat Fund
EVage,$28.00,14/01/2022,Delhi,Logistics,Seed,https://inc42.com/buzz/ev-startup-evage-raises-28-mn-to-make-commercial-vehicles/,
WayCool,$117.00,14/01/2022,Mumbai,Agritech,Series D,https://inc42.com/buzz/waycool-bags-indias-biggest-agritech-funding-round-at-117-mn/,
TheMathCompany,$50.00,13/01/2022,Bengaluru,General,,https://entrackr.com/2022/01/themathcompany-raise-50-mn/,Brighton Park Capital
ORAI,$0.78,13/01/2022,Bengaluru,Deeptech & AI,Pre-Series A,https://entrackr.com/2022/01/orai-raises-rs-6-5-cr-in-pre-series-a-round/,Inflection Point Ventures
Turnip,$12.50,13/01/2022,Bengaluru,Gaming,Series A,https://entrackr.com/2022/01/gaming-community-startup-turnip-raises-12-5-mn-in-series-a/,Greenoaks;Elevation Capital;Lightbox;March Gaming;Duane Park Ventures;Better Capital
Curefoods,$62.00,12/01/2022,Bengaluru,D2C,Series A,https://entrackr.com/2022/01/curefoods-raises-62-mn-from-iron-pillar-chiratae-and-others/,Iron Pillar in August last year
Rooter,$25.00,12/01/2022,Delhi,Healthtech,Pre-Series A,https://entrackr.com/2022/01/rooter-raises-25-mn-in-series-a-round/,Lightbox;March Gaming;Duane Park Ventures
Freadom,$2.50,12/01/2022,Gurugram,Edtech,Bridge,https://entrackr.com/2022/01/english-edtech-startup-freadom-raises-2-5-mn/,Capital A
ToolJet,$1.50,12/01/2022,Bengaluru,SaaS,Seed,https://entrackr.com/2022/01/tooljet-raises-1-5-mn-in-seed-round-led-by-nexus/,Nexus;Nexus Venture Partners
Rupeek,$34.00,11/01/2022,Bengaluru,General,,https://entrackr.com/2022/01/rupeek-raises-34-mn-led-by-lightbox/,Lightbox;GGV;Bertelsmann also participated in the round;Bertelsmann also participated in the fresh round
TradeX,$1.00,11/01/2022,Gurugram,General,Seed,https://entrackr.com/2022/01/tradex-bags-1-mn-in-seed-round/,
OneDios,$1.20,11/01/2022,Delhi,General,,https://entrackr.com/2022/01/onedios-raises-1-2-mn-in-new-round/,Indian Angel Network (IAN);LetsVenture;HNIs such as Bhanu Chopra;Akash Bhansali
Pepper Farms,$1.00,11/01/2022,Gurugram,Agritech,Seed,https://entrackr.com/2022/01/pepper-farms-raises-1-mn-in-seed-round/,AxilorVentures;Himanshu Aggarwal;Co-founder of Aspiring Minds
Crib,$0.35,11/01/2022,Gurugram,SaaS,Pre-Seed,https://entrackr.com/2022/01/crib-raises-400k-in-pre-seed-round/,Pranay Gupta (co-founder;91Springboard) through his AngelList syndicate 91Ventures
IppoPay,$2.10,11/01/2022,Chennai,Fintech,Seed,https://entrackr.com/2022/01/fintech-startup-ippopay-raises-2-1-mn-in-seed-round/,
Glamplus,$0.60,11/01/2022,Bengaluru,SaaS,Pre-Series A,https://entrackr.com/2022/01/saas-startup-glamplus-raises-700k-in-pre-series-a/,Blume Ventures;Ramakant Sharma (COO- Livspace)
Power Gummies,$6.00,10/01/2022,New Delhi,General,Series A,https://entrackr.com/2022/01/power-gummies-raises-6-mn-in-series-a/,9Unicorns;Agility Venture Partners;World Health Organisation (WHO) standard clinical trials;D while following sustainable manufacturing practices
Zluri,$10.00,10/01/2022,India,SaaS,Series A,https://entrackr.com/2022/01/zluri-secures-10-mn-in-series-a-round/,MassMutual Ventures;Endiya Partners;Kalaari Capital
Ather Energy,$5.03,14/01/2022,Bengaluru,Electric Vehicles,,https://entrackr.com/2022/01/hero-motocorp-to-invest-up-to-rs-420-cr-in-ather-energy/,Hero MotoCorp
Dozee,$10.00,14/01/2022,India,Healthtech,Series A,https://entrackr.com/2022/01/exclusive-doordashs-gokul-rajaram-leads-10-mn-round-in-dozee/,Gokul Rajaram;Prime Venture Partners;YourNest;3one4 Capital
Rocketbox,,14/01/2022,India,Logistics,Acquisition,https://entrackr.com/2022/01/zomato-backed-shiprocket-acquires-rocketbox/,Shiprocket
ShipNext,$0.54,13/01/2022,Chennai,Logistics,Pre-Series A,https://entrackr.com/2022/01/group-meeran-leads-rs-4-5-cr-pre-series-a-round-in-shipnext/,Group Meeran
Yaantra,,13/01/2022,India,E-commerce,Acquisition,https://entrackr.com/2022/01/flipkart-acquires-yantra/,Flipkart
muvin,$3.00,13/01/2022,Bengaluru,Fintech,Pre-Series A,https://entrackr.com/2022/01/neobank-startup-muvin-raises-3-mn/,WaterBridge Ventures;Alteria Capital;Krishna Bhupal
Refyne,$82.00,12/01/2022,India,Fintech,Series B,https://entrackr.com/2022/01/tiger-global-leads-82-mn-series-b-round-in-refyne/,Tiger Global;Digital Horizon;QED Investors;DST Global;Jigsaw VC;XYZ Capital;RTP Global
Eduncle,$1.00,11/01/2022,Kota,Edtech,,https://entrackr.com/2022/01/mumbai-angels-network-backs-edtech-startup-eduncle/,Mumbai Angels Network;Ah! Ventures;KareKaBa Ventures
Easy to Pitch,$0.14,11/01/2022,New Delhi,SaaS,Pre-Seed,https://entrackr.com/2022/01/easy-to-pitch-raises-135k-from-venture-catalyst-and-others/,Venture Catalysts;JPIN Venture Catalysts UK
The ePlane Company,$5.00,10/01/2022,Chennai,Electric Aircraft,Pre-Series A,https://entrackr.com/2022/01/the-eplane-company-raises-5-mn-in-pre-series-a/,Speciale Invest;Micelio;Naval Ravikant;3one4 Capital;UTEC;Anicut Capital;Infoedge;Java Capital
Udaan,$250.00,08/01/2022,India,B2B E-commerce,Debt,https://entrackr.com/2022/01/funding-and-acquisition-in-indian-startups-this-week-3-jan-8-jan/,
Lahori,$15.00,10/01/2022,Punjab,Ecommerce,,https://inc42.com/buzz/beverage-startup-lahori-raises-15-mn-from-belgium-based-verlinvest/,Verlinvest
BikeWo,,10/01/2022,Hyderabad,Clean Tech,Undisclosed,https://inc42.com/buzz/actor-daggubati-venkatesh-invests-in-ev-two-wheeler-hub-bikewo/,Daggubati Venkatesh
Work Better,,10/01/2022,Mumbai,Edtech,Acquisition,https://inc42.com/buzz/upgrad-acquires-enterprise-ld-company-work-better-to-strengthen-its-b2b-offering/,upGrad
DMI Finance,$47.00,11/01/2022,Mumbai,Fintech,,https://inc42.com/buzz/nbfc-dmi-finance-raises-47-mn-from-97-year-old-japanese-trust-sumitomo-mitsui/,Sumitomo Mitsui Trust Bank;NXC Corporation;New Investment Solutions
Florona,,12/01/2022,India,Ecommerce,Acquisition,https://inc42.com/buzz/roll-up-ecommerce-unicorn-mensa-brands-acquires-majority-stakes-in-d2c-startup-florona/,Mensa Brands
Pepul,$1.50,12/01/2022,Chennai,Enterprise Tech,Seed,https://inc42.com/buzz/interest-based-social-media-platform-pepul-raises-1-5-mn-in-seed-funding/,Hourglass Venture Partners;Girish Mathrubootham;Vijay Shekhar Sharma
LEAD,$100.00,13/01/2022,Mumbai,Edtech,Series E,https://inc42.com/buzz/lead-becomes-2021s-first-edtech-unicorn-with-100-mn-funding/,WestBridge Capital;GSV Ventures
Wiz Freight,$2.40,13/01/2022,Chennai,Logistics,Debt,https://inc42.com/buzz/full-stack-freight-management-startup-wiz-freight-secures-inr-20-cr-in-debt-funding/,Stride Ventures
Planet Superheroes,,13/01/2022,India,Ecommerce,Acquisition,https://inc42.com/buzz/nazara-acquires-licensed-merchandising-d2c-brand-planet-superheroes/,NODWIN Gaming;Nazara Technologies
Lifelong,,14/01/2022,India,Ecommerce,Acquisition,https://inc42.com/buzz/thrasio-enters-india-market-with-inr-3750-cr-and-lifelong-acquisition/,Thrasio
