Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Sports Flashes,,16/08/2017,Delhi,Media & Entertainment,Undisclosed,https://inc42.com/buzz/times-group-sports-flashes-funding/,Times Group
Instamojo,$1.00,18/08/2017,Bengaluru,E-commerce,Series A,https://entrackr.com/2017/08/instamojo-raises-funds/,Japan’s Anypay;Kalaari Capital
CureFit,$2.46,16/08/2017,Bengaluru,General,Series A,https://entrackr.com/2017/08/curefit-raises-fresh-funds/,
DeTect Technologies,,16/08/2017,Chennai,Deeptech & AI,Undisclosed,https://entrackr.com/2017/08/detect-technologies-raises-funding/,CIIE;Axilor Ventures;Keiretsu Forum
ZingBox,$22.00,17/08/2017,India,General,Series B,https://yourstory.com/2017/08/zingbox-series-b-iot-security,Dell Technologies Capital;Tri Ventures
