Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Truebil,$5.00,29/01/2016,Mumbai,E-commerce,Series A,https://inc42.com/flash-feed/truebil-funding/,Kae Capital
FindURClass,$0.18,29/01/2016,Mumbai,General,Acquisition,https://inc42.com/flash-feed/findurclass-funding-venture-nursery/,
Mazkara,$1.00,01/02/2016,Delhi,General,Seed,https://inc42.com/flash-feed/mazkara-raises-1-mn/,
Blue Tokai Coffee Roasters,,01/02/2016,Delhi,E-commerce,Seed,https://inc42.com/flash-feed/blue-tokai-raises-funding/,Snow Leopard Ventures;Bold Ventures
MyWash,,03/02/2016,Bangalore,Consumer Services,Acquisition,https://inc42.com/flash-feed/housejoy-acquires-mywash/,Housejoy
TinMen,,29/01/2016,Hyderabad,Foodtech,Undisclosed,https://inc42.com/flash-feed/tinmen-funding/,Lead Angel Network
Rare Media,$1.00,29/01/2016,New Delhi,SaaS,,https://inc42.com/flash-feed/info-edge-invests-1-mn-in-rare-media/,Info Edge
Woodpie,$0.03,01/02/2016,Bangalore,Media & Entertainment,Seed,https://inc42.com/flash-feed/woodpie-seed-funding/,Ingram Content Group;Nashville Entrepreneur Centre
Altizon Systems,$4.00,01/02/2016,Pune,Deeptech & AI,Series A,https://inc42.com/flash-feed/altizon-funding/,Wipro Ventures;Lumis Partners;The Hive;Infuse Ventures
Sendd,$4.50,01/02/2016,Mumbai,Logistics,Acquisition,https://inc42.com/buzz/craftsvilla-acquired-sendd/,Craftsvilla
Oust Labs,,02/02/2016,India,Edtech,Seed,https://inc42.com/buzz/oust-labs-seed-funding/,T.V. Mohandas Pai;Aarin Capital
Perfumery,$0.03,04/02/2016,India,E-commerce,Seed,https://inc42.com/flash-feed/perfumery-funding/,Oranda Global
Heads Up For Tails,,04/02/2016,New Delhi,E-commerce,Seed,https://inc42.com/flash-feed/heads-up-for-tails-gets-seed-funding/,
Blue Tokai,$0.24,02/02/2016,Delhi,General,Seed,https://yourstory.com/2016/02/blue-tokai-funding,Snow Leopard Ventures;Bold Ventures
Qriyo Infolabs,$0.16,29/01/2016,Jodhpur,Edtech,Seed,https://yourstory.com/2016/01/qriyo-infolabs-idein-ventures-funding,Idein Ventures
DesignBids,,29/01/2016,Delhi,E-commerce,Undisclosed,https://yourstory.com/2016/01/designbids-funding,Indian Angel Network
Altigreen Propulsion Labs,$2.00,29/01/2016,Bengaluru,EV & Mobility,,https://yourstory.com/2016/01/altigreen-funding,Jupiter Capital
Altizon,$4.00,02/02/2016,Pune,Deeptech & AI,Series A,https://yourstory.com/2016/02/altizon-series-a,Wipro Ventures;Lumis Partners;The Hive;Infuse Ventures
