Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Grofers,$200.00,15/05/2019,Delhi,General,,https://entrackr.com/2019/05/svf-lead-200-million-grofers/,SoftBank;SVF for the same;Alibaba;SoftBank’s own portfolio
Cialfo,$3.00,14/05/2019,New Delhi,General,Series A,https://yourstory.com/2019/05/funding-startup-college-admissions-cialfo-dlf-venture,DFL Ventures;DLF Venture
DocsApp,$1.44,14/05/2019,India,General,Debt,https://yourstory.com/2019/05/startup-funding-docsapp-innoven-capital,InnoVen Capital
VilFresh,$0.14,14/05/2019,Coimbatore,Agritech,Series A,https://yourstory.com/2019/05/startup-agri-tech-vilfresh-funding-native-angels,Native Angels;Bertelsmann India;Patna-based DeHaat;Omnivore;AgFunder;Upaya Social Ventures;Sangam Ventures
Ethereal Machines,$1.00,14/05/2019,Bengaluru,Deeptech & AI,Pre-Series A,https://yourstory.com/2019/05/startup-funding-ethereal-machines-blume-ventures,Blume Ventures;Jitendra Gupta;Founder PayU
Docttocare,$3.00,15/05/2019,Bengaluru,General,Series D,https://yourstory.com/2019/05/startup-funding-healthcare-docttocare-mpower-solutions,InnoVen Capital;Accel
DeHaat,$2.40,15/05/2019,Gurugram,Agritech,Venture Debt,https://yourstory.com/2019/05/agritech-startup-funding-dehaat-trifecta-capital,Omnivore;AgFunder;DeHaat now raised Rs 20 crore debt funding by Trifecta Capital
Disrupt,$0.18,16/05/2019,Mumbai,General,Pre-Series A,https://yourstory.com/2019/05/startup-funding-rannvijay-singha-fashion-disrupt,
Locus,$22.00,13/05/2019,India,Logistics,Series B,https://yourstory.com/2019/05/startup-funding-locus-ai-logistics-tiger-global-falcon-edge,Falcon Edge Capital;Tiger Global Management;Exfinity Venture Partners;Blume Ventures
Pipal Tree Beverages,,16/05/2019,Mumbai,Foodtech,Undisclosed,https://yourstory.com/2019/05/startup-funding-pipal-tree-beverages-iti-growth-opportunities-fund,ITI Growth Opportunities Fund
Epigamia,$21.80,13/05/2019,Mumbai,Foodtech,Series C,https://yourstory.com/2019/05/deepika-padukone-funding-fmcg-startup-epigamia,Verlinvest;DSG Consumer Partners;Danone Manifesto Ventures;Deepika Padukone
GIFkaro,$0.25,13/05/2019,New Delhi,SaaS,,https://yourstory.com/2019/05/startup-angel-funding-gifkaro-invitekaro,Pranay Gupta;Ekika Singh
