Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Neobank Fi,$45.00,23/07/2022,Bengaluru,Deeptech & AI,Series A,https://inc42.com/buzz/neobank-fi-raises-45-mn-from-alpha-wave-ventures-in-ongoing-series-c-round/,Alpha Wave Ventures
Mn,$189.00,23/07/2022,Hyderabad,Fintech,Acquisition,https://inc42.com/buzz/funding-galore-189-mn-raised-by-indian-startups-this-week/,
SuperShare,$6.50,25/07/2022,India,General,Series A,https://inc42.com/buzz/content-sharing-startup-supershare-raises-funding-to-bring-its-app-in-next-few-months/,
Curefoods,$50.00,26/07/2022,India,E-commerce,Series C,https://inc42.com/buzz/bollywood-celebrity-nora-fatehi-invests-in-ankit-nagoris-curefoods/,
Crypso,$3.00,26/07/2022,India,Web3 & Crypto,Seed,https://inc42.com/buzz/community-led-crypto-startup-crypso-raises-funding-to-widen-product-offerings/,Polygon founders Sandeep Nailwal;Jaynti Kanani;CRED’s Kunal Shah also participated in the round
Wify,$2.00,27/07/2022,India,General,Pre-Series A,https://inc42.com/buzz/home-furnishing-startup-wify-raises-funding-aims-to-onboard-100k-blue-collar-workers/,Blume Founders Fund;Unitus Ventures
Mn,$70.00,27/07/2022,India,General,Series B,https://inc42.com/buzz/retail-tech-startup-arzooo-to-launch-b2c-platform-with-6-mn-8-mn-dollar-investment/,
Threado,$3.10,28/07/2022,India,Deeptech & AI,Seed,https://inc42.com/buzz/community-management-startup-threado-raises-3-1-mn-seed-funding-to-ramp-up-product-development/,Vertex Ventures Southeast Asia;India;Gemba Capital;Speciale Invest;PointOne Capital;Zomato CEO Deepinder Goyal;Chargebee cofounders Krish Subramanian;Rajaraman Santhanam;Capillary Technologies' Aneesh Reddy;Zomato cofounder Pankaj Chaddah;Tracxn cofounder Abhishek Goyal;Capillary Technologies’ Aneesh Reddy;Mettl’s Tonmoy Shingal;Bain India’s former MD Sri Rajan
ChattyBao,$5.00,28/07/2022,Delhi,General,Seed,https://inc42.com/buzz/hyperlocal-stealth-startup-chattybao-raises-over-5-mn-to-better-connect-local-merchants-with-consumers/,Vertex Ventures Southeast Asia;India;Info Edge Ventures
Nestery,$0.72,28/07/2022,India,E-commerce,Pre-Series A,https://entrackr.com/2022/07/the-nestery-secures-pre-series-a-round/,Inflection Point Ventures
Jai Kisan,$50.00,28/07/2022,Mumbai,Fintech,Series A,https://entrackr.com/2022/07/exclusive-jai-kisan-raises-50-mn-in-ongoing-series-b-round/,
Threado,$3.10,27/07/2022,India,General,Seed,https://entrackr.com/2022/07/community-management-platform-threado-raises-3-1-mn/,Vertex Ventures Southeast Asia;India
Windo,$1.50,26/07/2022,India,E-commerce,Pre-Series A,https://entrackr.com/2022/07/e-comm-enabler-windo-raises-1-5-mn-in-pre-series-a-round/,Unicorn India Ventures;CapriGlobal;Aravind Sanka;K Ganesh
Artfi,$3.26,26/07/2022,India,Fintech,,https://entrackr.com/2022/07/nft-startup-artfi-raises-3-26-mn-at-100-mn-valuation/,Sheikha Hend Al Qassemi;Mr
ChattyBao Technologies,$5.00,28/07/2022,Delhi,E-commerce,Seed,https://yourstory.com/2022/07/ecommerce-chattybao-technologies-seed-round-info-edge-ventures-vertex,Info Edge;Vertex Ventures;Vertex Ventures South East Asia;India;7Square Ventures
ChefKart,$2.00,25/07/2022,Gurugram,Marketplace,Seed,https://entrackr.com/2022/07/pravega-and-blume-ventures-lead-2-mn-round-in-chefkart/,Pravega Ventures;Blume Ventures;Titan Capital;Deepinder Goyal;Kunal Shah;Tremis Capital
Better Opinions,$2.50,25/07/2022,Gurugram,Event Trading,,https://entrackr.com/2022/07/yc-backed-better-opinions-raises-2-5-mn-from-metaplanet-vc-others/,Metaplanet VC;Goldwater Capital;YCombinator;Taurus VC;Original Capital;Tremis Capital;Super Capital
SVISH On-the-Go,$1.20,25/07/2022,India,D2C,Pre-Series A,https://entrackr.com/2022/07/personal-hygiene-brand-svish-on-the-go-raises-rs-10-cr/,Wami Capital;LC Nueva AIF
TraceCost,$2.50,27/07/2022,India,Construction Tech,,https://entrackr.com/2022/07/ofbusiness-invests-in-construction-software-firm-tracecost/,OfBusiness
Flinkhub,,26/07/2022,Bengaluru,EdTech,Acquisition,https://entrackr.com/2022/07/rural-commerce-platform-hesa-acquires-flinkhub/,Hesa
Niyo,$30.00,23/07/2022,India,Fintech,,https://entrackr.com/2022/07/funding-and-acquisitions-in-indian-startups-this-week-18-july-23-july/,
Harappa Education,$38.00,22/07/2022,India,Edtech,Acquisition,https://inc42.com/buzz/edtech-unicorn-upgrad-acquires-harappa-education-for-38-mn-to-focus-on-enterprisetech-segment/,upGrad
Porter (FMCG modern trade business),,26/07/2022,Bengaluru,Logistics,Acquisition,https://inc42.com/buzz/cogos-acquires-logistic-startup-porters-fmcg-arm-eyes-expansion-to-300-cities/,COGOS Technologies
ESOP Direct,,27/07/2022,Pune,Fintech,Acquisition,https://inc42.com/buzz/equity-management-startup-qapita-acquires-esop-direct-to-expand-in-india-and-southeast-asia/,Qapita
PriceLabs,$30.00,28/07/2022,Pune,SaaS,,https://inc42.com/buzz/property-price-management-startup-pricelabs-bags-30-mn-from-summit-partners/,Summit Partners
"Fullife Healthcare (Fast&Up, Chicnutrix)",,27/07/2022,India,D2C,Undisclosed,https://inc42.com/buzz/bollywood-actress-shilpa-shetty-invests-in-d2c-nutraceutical-brands-fastup-chicnutrix/,Shilpa Shetty
