Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Curofy,$0.55,09/10/2015,Delhi,Healthtech,Pre-Series A,https://inc42.com/buzz/curofy-raises-pre-series-a/,US-based VC firm
Bizongo,$9.00,12/10/2015,Mumbai,E-commerce,Series B,https://inc42.com/flash-feed/bizongo-raises-funding/,Kalaari Capital
Lookup,$2.50,14/10/2015,Bengaluru,General,Series A,https://inc42.com/buzz/lookup-series-a/,Vinod Khosla’s personal fund Khosla Impact;Twitter co-founder Biz Stone;Vinod Khosla;Catamaran Ventures
Grabhouse,$10.00,08/10/2015,Bangalore,Real Estate Tech,Series B,https://inc42.com/flash-feed/grabhouse-grabs-10-mn/,Sequoia;Kalaari Capital
Stockroom.io,$0.07,09/10/2015,Hyderabad,SaaS,Seed,https://inc42.com/buzz/stockroom-raises-70k-seed/,
Cloud Lending Solutions,$8.00,09/10/2015,India,Fintech,Series A,https://inc42.com/flash-feed/cloud-lending-solutions-raises-8-mn/,SF Capital Group;Cota Capital;Long Light Capital;Green Visor;Epic Ventures
Inayo,$0.30,09/10/2015,Mumbai,Healthtech,Seed,https://inc42.com/buzz/inayo-funding/,Kemark Ventures;Amit Ranjan;Zishaan Hayath
ZuperMeal,$2.00,08/10/2015,Mumbai,Foodtech,,https://inc42.com/flash-feed/zupermeal-2mn-funding/,Sanjeev Kapoor;Ravi Saxena
Gridle,$0.10,12/10/2015,Ahmedabad,SaaS,Seed,https://inc42.com/flash-feed/gridle-funding/,Jyotsna Bapat;Gaurav Zutshi;Rohit Jamwal;Rohit Kilam;Sanjay Tekale
Mubble,,12/10/2015,Bangalore,Fintech,Series A,https://inc42.com/flash-feed/mubble-series-a-funding/,Accel Partners
Homigo,$0.20,12/10/2015,Bangalore,Real Estate Tech,Seed,https://inc42.com/flash-feed/homigo-raises-200k-in-seed-funding/,
Voodoo,$1.00,13/10/2015,Delhi,E-commerce,Seed,https://inc42.com/flash-feed/saif-partners-invests-voodoo/,SAIF Partners
BigBasket,$25.00,14/10/2015,Bangalore,E-commerce,,https://inc42.com/buzz/bigbasket-raise-25-mn-ifc/,International Finance Corporation
Mobikon,,08/10/2015,India,SaaS,Undisclosed,https://inc42.com/flash-feed/mobikon-raises-funding/,Life.SREDA;Qualgro
Faircent,,12/10/2015,Gurgaon,Fintech,Undisclosed,https://inc42.com/flash-feed/faircent-raises-funding-from-mohandas-pai/,Aarin Capital;TV Mohandas Pai
Gaana,,14/10/2015,India,Media & Entertainment,Undisclosed,https://inc42.com/flash-feed/micromax-invests-in-gaana/,Micromax
Tripoto,,12/10/2015,Delhi,Travel Tech,Undisclosed,https://inc42.com/flash-feed/tripoto-raises-follow-on-funding/,500 Startups;IDG Ventures;Advantedge;TV Mohandas Pai;Singapore Angel Network;Neeraj Arora;Leon Seynave
Cube26,,09/10/2015,India,Deeptech & AI,Undisclosed,https://yourstory.com/2015/10/cube26-funding-tiger-global,Tiger Global Management
Quifers,$0.24,08/10/2015,Mumbai,Logistics,,https://yourstory.com/2015/10/quifers-funding,Indian Angel Network;Smile
MockBank,$0.40,08/10/2015,India,Edtech,,https://yourstory.com/2015/10/mockbank-funding-story,Blume Ventures;Mercatus Capital;Amit Ranjan;Srivatsan Rajan
Inayo,$0.30,10/10/2015,Mumbai,Healthtech,Seed,https://yourstory.com/2015/10/inayo-funding,Amit Ranjan;Kemark Ventures;Zishaan Hayath
Trideal,,13/10/2015,Chandigarh,Consumer Services,Acquisition,https://inc42.com/flash-feed/little-acquires-trideal/,
