Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Zomato,$60.00,07/09/2015,Gurugram,Foodtech,Acquisition,https://inc42.com/flash-feed/zomato-closes-60-mn/,Temasek Holdings;Vy Capital
FX Mart,$6.80,02/09/2015,India,Fintech,Acquisition,https://inc42.com/flash-feed/flipkart-acquires-payment-services-startup-fx-mart-for-about-6-8-mn/,Flipkart
HolaChef,,02/09/2015,Mumbai,Foodtech,Series A,https://inc42.com/flash-feed/ratan-tata-invests-in-food-startup-holachef/,Ratan Tata;Kalaari Capital;India Quotient
Capillary Technologies,$45.00,02/09/2015,Bangalore,SaaS,,https://inc42.com/flash-feed/capillary-45-mn/,Warburg Pincus;Sequoia Capital;Norwest Ventures
Jobspire,$0.26,02/09/2015,Bangalore,Consumer Services,Seed,https://inc42.com/buzz/jobspire-raises-funding/,Purvi Capital;Willfly Ventures;Nikunj Jain;Krishna Jha;Sanjay Bakshi;Kapil Nayyar
skyTran,,03/09/2015,India,EV & Mobility,Series A,https://inc42.com/flash-feed/google-chairman-eric-schmidt-invests-in-skytran/,Innovation Endeavors
Luxury Hues,$1.00,03/09/2015,Gurgaon,E-commerce,,https://inc42.com/flash-feed/reliance-capital-singapore-company-invests-in-luxury-hues/,Reliance Capital;Ravi Viswanathan
Zivame,$38.00,03/09/2015,Bangalore,E-commerce,Series C,https://inc42.com/buzz/zivame-raises-40-mn/,Zodius Technology Fund;Khazanah Nasional Berhad;Unilazer;IDG Ventures;Kalaari Capital
ClapsnSlaps,$0.15,04/09/2015,Mumbai,Media & Entertainment,Seed,https://inc42.com/flash-feed/clapsnslaps-raises-150k/,R M Picture Company
RoomCentral,$2.00,05/09/2015,Bangalore,Travel Tech,,https://inc42.com/flash-feed/roomcentral-raises-2-mn/,Karanpal Singh
YouthKiAwaaz,$0.60,07/09/2015,New Delhi,Media & Entertainment,Seed,https://inc42.com/flash-feed/youthkiawaaz-raises-599k/,Raghav Bahl;Ritu Kapur
Report Bee,,08/09/2015,Chennai,Edtech,Undisclosed,https://inc42.com/flash-feed/ieif-invests-in-report-bee-guru-g/,India Educational Investment Fund
Capillary Technologies,$45.00,03/09/2015,Bengaluru,E-commerce,Series C,https://yourstory.com/2015/09/capillary-technologies-funding,Sequoia Capital;Norwest Venture Partners
Pickingo,$1.30,02/09/2015,Gurgaon,Logistics,,https://inc42.com/flash-feed/zomato-buys-minority-stake-in-pickingo-grab-partners-delhivery/,Orios Venture Partners;Zishaan Hayath
Reduce Data,,02/09/2015,US,Deeptech & AI,Acquisition,https://inc42.com/flash-feed/snapdeal-acquires-reducedata/,
