Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Gramophone,$1.00,05/03/2018,Indore,Agritech,Pre-Series A,https://inc42.com/buzz/gramophone-agritech-info-edge-funding/,Ravi Garikipati;Chief Technology Officer of Flipkart
Ninjacart,$1.00,05/03/2018,Bengaluru,Agritech,Venture Debt,https://inc42.com/buzz/ninjacart-raises-1mn-venture-debt-trifecta-capital/,
Anaek,$1.00,06/03/2018,Delhi,SaaS,Seed,https://inc42.com/buzz/saas-anaek-raises-seed-funding-matrix-partners-india/,
Hotelogix,$5.00,06/03/2018,India,SaaS,,https://inc42.com/buzz/hotel-property-management-system-hotelogix-funding/,Vertex Ventures;Accel Partners;Saama Capital
Pepperfry,$38.50,07/03/2018,Mumbai,E-commerce,,https://inc42.com/buzz/furniture-home-marketplace-pepperfry-funding-state-street-global-advisors/,State Street Global Advisors
Aarav Unmanned Systems,,07/03/2018,Bengaluru,Deeptech & AI,Pre-Series A,https://inc42.com/buzz/aus-drone-funding-growx-500-startups/,GrowX Ventures;500 Startups;BellWether Advisors;StartupXseed;3ONE4 Capital
PictureTime,$3.85,07/03/2018,India,Media & Entertainment,Pre-Series A,https://inc42.com/buzz/mobile-movie-theatre-picturetime-raises-3-85-mn-pre-series-funding/,Ajay Relan
Magicpin,$1.00,07/03/2018,Gurugram,Foodtech,Venture Debt,https://inc42.com/buzz/hyperlocal-discovery-startup-magicpin-bags-1-mn-venture-debt-trifecta-capital/,Trifecta Capital
Tripeur,$0.60,09/03/2018,India,Travel Tech,Pre-Series A,https://inc42.com/startups/tripeur-corporate-travel-management-funding/,Incubate Fund;Rajul Garg
PictureTime,$2.99,08/03/2018,Bengaluru,General,Pre-Series A,https://entrackr.com/2018/03/picturetime-raise-fund/,Ajay Relan;Rohit Chand;Ashish Gupta
LiveHealth,$1.10,05/03/2018,Pune,Healthtech,Seed,https://entrackr.com/2018/03/livehealth-1-1-mn-nexus-ventures/,
MedGenome,$40.00,05/03/2018,Hyderabad,General,Series C,https://yourstory.com/2018/03/medgenome-closes-40-m-series-c-funding-hdfc-group-invests-in-company,Sequoia India;Sofina;Zodius Capital;Kris Gopalakrishnan;Co-founder;Lakshmi Narayanan
InnerSense,$0.30,07/03/2018,India,E-commerce,Pre-Series A,https://yourstory.com/2018/03/organic-antimicrobial-lingerie-brand-innersense-raises-rs-2-5-cr-from-venture-catalysts-in-pre-series-a-round,
Gramophone,$1.00,06/03/2018,Indore,Agritech,Pre-Series A,https://yourstory.com/2018/03/gramophone-medgenome-livehealth-raise-funds-report-shows-passwords-not-changed-even-after-cyber-attacks-daily-capsule,Sequoia India;Sofina;Zodius Capital;Kris Gopalakrishnan;Co-founder;Lakshmi Narayanan
Hotelogix,$5.00,05/03/2018,India,General,,https://yourstory.com/2018/03/cloud-based-property-management-system-hotelogix-raises-5-million-vertex-ventures-others,Vertex Ventures;Saama Capital;Accel Partners
Magicpin,$1.00,06/03/2018,Gurugram,E-commerce,Venture Debt,https://entrackr.com/2018/03/magicpin-grabs-1-mn-trifecta-capital/,Trifecta Capital
Aarav Unmanned Systems,,08/03/2018,Bengaluru,Deeptech & AI,Pre-Series A,https://yourstory.com/2018/03/drone-tech-startup-aus-raises-funding,GrowX Ventures;500 Startups;Bellwether Advisors;3one4 Capital;StartupXseed;Sanjay Jesrani
PictureTime,$2.99,09/03/2018,India,Entertainment,Pre-Series A,https://yourstory.com/2018/03/bikxie-announces-women-only-services-picturetime-aarav-unmanned-systems-raise-funds-daily-capsule,Ajay Relan
Pepperfry,$29.94,08/03/2018,India,E-commerce,,https://yourstory.com/2018/03/pepperfry-others-rise-funding-google-tez-adds-chat-feature-paytm-money-gets-sebi-nod-daily-capsule,State Street Global Advisors
