Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Freshup,$1.50,07/11/2017,Chennai,Travel Tech,Seed,https://inc42.com/buzz/hospitality-startup-freshup-funding/,Lotus Global Investments
Qubole,$56.53,11/11/2017,Delhi,Fintech,Seed,https://entrackr.com/2017/11/indian-startups-funding-news-7/,Singtel Innov8;Harmony Partners;Quona Capital;Switzerland-headquartered Pioneering Ventures;IDG Ventures India;Fosun International;Ventureast;Endiya Partners
Happily Unmarried,$0.60,10/11/2017,Delhi,E-commerce,,https://entrackr.com/2017/11/happily-unmarried-funds-wipro-info-edge/,
Qubole,$25.00,09/11/2017,Bengaluru,General,Seed,https://entrackr.com/2017/11/qubole-bags-25-million/,Singtel Innov8;Harmony Partners including existing investors;Harmony Partners;Riverwood Capital in August 2017 while Bangalore-based Julia Computing snapped-up $4;Charles River Ventures (CRV);Lightspeed Venture Partners;Norwest Venture Partners;Institutional Venture Partners (IVP)
Fisdom,$3.80,08/11/2017,Mumbai,Fintech,Seed,https://entrackr.com/2017/11/fisdom-3-8-million-quona-sama-capital/,Quona Capital;Fosun International;Ventureast;Endiya Partners
FarmLink,$3.00,08/11/2017,Mumbai,Agritech,Seed,https://entrackr.com/2017/11/farmlink-3-mn-pioneering-ventures/,Switzerland-headquartered Pioneering Ventures;Factor[e] Ventures;Hong Kong-based Epsilon Venture Partners
MedsOnWay,$0.48,06/11/2017,Pune,General,Acquisition,https://entrackr.com/2017/11/medsonway-rs-4-cr-rpg-ventures/,Tanncam
ATS,$20.00,06/11/2017,India,E-commerce,,https://entrackr.com/2017/11/amazon-logistics-ats-raises-20-mn/,
Kissht,$10.00,06/11/2017,Mumbai,Fintech,Seed,https://entrackr.com/2017/11/kissht-10-mn-fosun-international/,Fosun International;MD;Tej Kapoor;RZ Capital;Ventureast;Endiya Partners
NoPaperForms,$0.68,09/11/2017,Delhi,Edtech,,https://entrackr.com/2017/11/info-edge-rs-5-crore-nopaperforms/,Info Edge
Itilite,,09/11/2017,Bengaluru,SaaS,Seed,https://entrackr.com/2017/11/matrix-partners-backs-itilite/,Matrix Partners
Schoolguru,$1.56,08/11/2017,Mumbai,Edtech,,https://entrackr.com/2017/11/teamlease-invests-rs-13-cr-schoolguru/,TeamLease Services
CoveIoT,$4.00,07/11/2017,Bengaluru,Deeptech & AI,,https://entrackr.com/2017/11/titan-invests-wearable-startup-coveiot/,Titan
DocTalk,$5.00,07/11/2017,Mumbai,Healthtech,,https://entrackr.com/2017/11/y-combinator-doctalk-5-mn-matrix/,Matrix Partners India;Khosla Ventures;Venture Highway;Liquid2 Ventures;Altair Capital;Vy Capital
Hevo Data,$1.00,06/11/2017,Bengaluru,SaaS,Seed,https://entrackr.com/2017/11/hevo-data-raises-1-mn-idg-ventures/,IDG Ventures India
FarmLink,$3.00,10/11/2017,Mumbai,Agritech,Seed,https://yourstory.com/2017/11/agritech-startup-farmlink-raises-3-m-seed-funding,
FreshUp,$106.00,10/11/2017,Hyderabad,Fintech,Series B,https://yourstory.com/2017/11/funding-roundup-fintech-grabs-largest-piece-funding-pie-ticket-size-goes,Singtel Innov8;Harmony Partners;Quona Capital;Fisdom raises $3;Charles River Ventures (CRV);Lightspeed Venture Partners;Norwest Venture Partners;Institutional Venture Partners (IVP);Kedaara Capital
Open App,$0.55,08/11/2017,Chennai,IoT,Seed,https://yourstory.com/2017/11/open-app-enterprise-automation-funding,Axilor Ventures;Kumar Vembu
Kinara Capital,$14.50,06/11/2017,Bengaluru,Fintech,Series C,https://yourstory.com/2017/11/kinara-capital-raises-14-5m-series-c-funding-expand-portfolio-invest-technology,Michael & Susan Dell Foundation;Patamar Capital;Gaja Capital;GAWA Capital
