Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Faircent,$44.00,13/06/2015,Gurugram,Foodtech,Pre-Series A,https://inc42.com/buzz/funding-galore-46/,Seedfund;Sequoia
Shippr,$10.00,16/06/2015,Bengaluru,Logistics,Seed,https://inc42.com/flash-feed/bangalore-based-shippr-raises-seed-fund-from-i2india-venture-factory/,
Guiddoo,,10/06/2015,Mumbai,Travel Tech,Seed,https://inc42.com/buzz/guiddoo-raises-seed-funding/,Pawan Borle;Abrar Ahmad;Nirmal Singh;Vishal Shah;Sanjay Shah;Ushik Gala
Voonik,$5.00,10/06/2015,Bangalore,E-commerce,Series A,https://inc42.com/buzz/voonik-series-a/,Seedfund;Sequoia Capital
ANSR Consulting,$9.00,10/06/2015,Bangalore,SaaS,,https://inc42.com/buzz/accel-partners-leads-9-mn-in-ansr/,Accel Partners
Realty Business Intelligence,$1.50,11/06/2015,Delhi,Real Estate Tech,Acquisition,https://inc42.com/buzz/housing-acquires-realty-business-intelligence/,Housing.com
Delyver,,12/06/2015,Bangalore,Foodtech,Acquisition,https://inc42.com/buzz/big-basket-acquires-delyver/,BigBasket
Faircent,$0.25,12/06/2015,Gurgaon,Fintech,Pre-Series A,https://inc42.com/buzz/gurgaon-based-peer-to-peer-lending-platform-raises-pre-series-a-funding-of-250k/,M&S Partners
ZenRooms,$1.00,10/06/2015,India,Travel Tech,,https://inc42.com/buzz/zen-rooms-1-million/,Sanjay Aggarwal;Kaneswaran Avili
FoodAbhi,,15/06/2015,Mumbai,Foodtech,Seed,https://inc42.com/buzz/foodabhi-raises-seed-round-funding/,
Cucumbertown,,16/06/2015,Bangalore,Foodtech,Acquisition,https://inc42.com/buzz/cookpad-acquires-cucumbertown/,Cookpad
Karma Recycling,,16/06/2015,Delhi,E-commerce,Series A,https://inc42.com/flash-feed/karma-recycling-series-a/,Infuse Ventures;Low Carbon Enterprise Fund
CouponRaja,$0.50,16/06/2015,India,E-commerce,,https://inc42.com/flash-feed/couponraja-and-compareraja-funding/,Mahesh Pratapneni;Pallab Chatterjee
iSTAR,,15/06/2015,Bangalore,Edtech,Undisclosed,https://inc42.com/buzz/unitus-seed-fund-infuses-funds-in-skill-development-startup-istar/,Unitus Seed Fund
Babychakra,,16/06/2015,Mumbai,Media & Entertainment,Undisclosed,https://inc42.com/flash-feed/babychakra-funding/,Mumbai Angels;Patni Family Office;Satveer Singh Thakral;Karan Maheshwari;Jatin Aneja;Kishor Ganji;Roopa Nath
Glamrs,$1.00,15/06/2015,India,General,,https://yourstory.com/2015/06/glamrs-funding,
La Renon Healthcare,$11.98,12/06/2015,Ahmedabad,Healthtech,Series A,https://yourstory.com/2015/06/la-renon-healthcare-funding,Sequoia Capital
AdStringO Software,$0.35,11/06/2015,Mumbai,SaaS,,https://yourstory.com/2015/06/adstringo-funding,Indian Angel Network;Arihant Patni;Vishal Khare;Viswanath Ramachandran
PropTiger,,16/06/2015,Bangalore,Real Estate Tech,Undisclosed,https://inc42.com/flash-feed/news-corp-increases-its-stake-to-about-30-in-proptiger/,News Corp
LetsGoMo Labs,,15/06/2015,Gurgaon,E-commerce,Acquisition,https://inc42.com/buzz/snapdeal-acquires-letsgomo/,Snapdeal
