Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Magic Crate,$0.22,05/02/2016,Bengaluru,Edtech,Seed,https://inc42.com/flash-feed/magic-crate-funding/,Aarin Capital;GSF
Zendrive,$13.50,05/02/2016,Bengaluru,Logistics,Series A,https://inc42.com/flash-feed/zendrive-funding/,Sherpa Capital;Nyca Partners
Affimity,$1.20,10/02/2016,Bengaluru,General,,https://inc42.com/flash-feed/affimity-angel-funding/,
Weddingz.in,$1.00,09/02/2016,Mumbai,General,Pre-Series A,https://inc42.com/flash-feed/weddingz-in-raises-funding/,Google India’s MD
Hansel.io,,08/02/2016,Bangalore,SaaS,Seed,https://inc42.com/flash-feed/hansel-io-funding/,Endiya Partners;Tracxn Labs;Mekin Maheshwari;Rajesh Sawhney
Amazon Seller Services,$300.00,09/02/2016,India,E-commerce,,https://inc42.com/flash-feed/amazon-india-300-mn/,Amazon
Gray Routes,,09/02/2016,India,Logistics,Undisclosed,https://inc42.com/flash-feed/gray-routes-funding/,Mahesh Parasuraman;Rahul Gautam
Capzest,$0.20,10/02/2016,Mumbai,Fintech,Seed,https://inc42.com/flash-feed/capzest-raises-seed-funding/,Lion Ventures
ShopKirana,,10/02/2016,Indore,E-commerce,Undisclosed,https://inc42.com/flash-feed/shopkirana-funding/,Atul Jain;Anil Gelra;Jaikumar Nair
Manch,,11/02/2016,Mumbai,Edtech,Acquisition,https://inc42.com/flash-feed/toppr-acquires-edtech-startup-manch/,Toppr
IStyleYou,$0.10,08/02/2016,India,E-commerce,Seed,https://inc42.com/flash-feed/ghv-invests-in-istyleyou-and-adurcup/,Green House Ventures
InOpen Technologies,,11/02/2016,Mumbai,Edtech,Acquisition,https://inc42.com/flash-feed/next-education-acquires-inopen/,Next Education
JoulestoWatts,,11/02/2016,India,SaaS,Pre-Series A,https://inc42.com/flash-feed/joulestowatts-funding/,Saha Fund;Manipal Global Education Services
GlamStudios,,10/02/2016,India,Consumer Services,Seed,https://inc42.com/flash-feed/glamstudios-seed-funding/,Aqeel Ahmed
Turtlemint,,05/02/2016,Mumbai,Fintech,Undisclosed,https://inc42.com/flash-feed/turtlemint-funding/,Nexus Venture Partners;Blume Ventures
SmartCooky,,05/02/2016,India,E-commerce,Undisclosed,https://inc42.com/flash-feed/vlcc-funds-smart-cooky/,Vandana Luthra
Gingercrush,$1.00,05/02/2016,Gujarat,E-commerce,Pre-Series A,https://inc42.com/flash-feed/gingercrush-funding/,Saha Fund;Zia Mody;Mumbai Angels;Ananda Kallugadde;Rakesh Desai;Rakesh Malhotra
BHIVE Workspace,,05/02/2016,Bangalore,Real Estate Tech,Seed,https://inc42.com/flash-feed/bhive-secures-funding/,Raghunandan G;Rajesh Rai;Arihant Patni;Sanjay Mirchandani;Arun Narayan
Xpressbees,$8.00,08/02/2016,Pune,Logistics,,https://inc42.com/flash-feed/xpressbees-funding/,SAIF Partners;Vertex Ventures
Invictus Oncology,,08/02/2016,New Delhi,Healthtech,Series A,https://inc42.com/flash-feed/tata-invests-in-invictus/,Ratan Tata;Navam Capital;Aarin Capital
Motoziel,$2.00,08/02/2016,Gurgaon,EV & Mobility,,https://inc42.com/flash-feed/motoziel-to-raise-3-mn/,Steelbird
CarDekho,$15.00,05/02/2016,Jaipur,General,Acquisition,https://yourstory.com/2016/02/cardekho-funding,Google Capital;Chinese funds Hillhouse Capital;Tybourne Capital
Avanti Learning Centres,$3.96,09/02/2016,Mumbai,Edtech,,https://yourstory.com/2016/02/avanti-learning-centres-funding-michael-susan-dell-foundation,Michael & Susan Dell Foundation;Asha Impact;Ted Dintersmith;Pearson Affordable Learning Fund
Moglix,,08/02/2016,India,E-commerce,Undisclosed,https://yourstory.com/2016/02/moglix-funding-ratan-tata,Ratan Tata
Turtlemint,,08/02/2016,Mumbai,Fintech,Undisclosed,https://yourstory.com/2016/02/turtlemint-funding,Nexus Venture Partners;Blume Ventures
