Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Perfios,$229.00,11/09/2023,Bengaluru,Fintech,Series D,https://inc42.com/buzz/fintech-saas-startup-perfios-raises-229-mn-mix-primary-secondary-sale/,
TrackWizz,$107.78,11/09/2023,Mumbai,SaaS,,https://inc42.com/buzz/trackwizz-funding-financial-institutions-fight-financial-crimes/,
WOGOM,$1.90,12/09/2023,India,E-commerce,,https://inc42.com/buzz/wogom-bags-funding-to-bridge-consumer-electronic-supply-chain-gap-in-remote-areas/,
Travel Aggregator,$41.80,14/09/2023,India,General,,https://inc42.com/buzz/yatra-ipo-online-travel-aggregator-raises-inr-349-cr-from-33-anchor-investors/,ICICI Prudential;Mirae Assets;Advantage Fund;Tata Multicap Fund;Edelweiss;Morgan Stanley Asia;Societe Generale;Mirae Asset Hybrid Equity Fund;Morgan Stanley Asia (Singapore);Societe Ge
HotelYaari,$2.16,15/09/2023,India,Fintech,Seed,https://inc42.com/buzz/hotelyaari-bags-inr-18-cr-to-offer-fractional-ownership-of-holiday-homes/,
Blue Tokai,$30.00,15/09/2023,Delhi,E-commerce,Series B,https://inc42.com/buzz/deepika-padukone-invests-in-blue-tokai-coffee-roasters/,A91 Partners
Seeds Fincap,$6.00,15/09/2023,India,Healthtech,Series A,https://entrackr.com/2023/09/seeds-fincap-raises-6-mn-in-series-a-round-from-lok-capital/,
Samudaay,$4.79,12/09/2023,India,General,Series A,https://entrackr.com/2023/09/1bridge-acquires-technological-assets-of-esamudaay-closes-bridge-round/,
Pee Safe,$3.00,12/09/2023,Gurugram,E-commerce,Series B,https://entrackr.com/2023/09/pee-safe-raises-3-mn-in-ongoing-series-b-round/,Natco Pharma Limited;Rainmatter Health;Nikhil Kamath
Rario,$120.00,11/09/2023,India,General,Series A,https://entrackr.com/2023/09/rario-burns-through-120-mn-in-15-months-future-looks-uncertain/,
Databricks,$500.00,15/09/2023,Bengaluru,Deeptech & AI,,https://yourstory.com/2023/09/databricks-raises-usd-500-million-at-usd-43-billion-valuation,Capital One Ventures;Ontario Teachers’ Pension Plan
HotelYaari,$2.17,14/09/2023,India,Logistics,Seed,https://yourstory.com/2023/09/startup-news-and-updates-daily-roundup-september-14-2023,
Pixis,$85.00,15/09/2023,India,Deeptech & AI,,https://yourstory.com/2023/09/pixis-secures-funding-85mn-series-c1-funding-round,Touring Capital
Leads Connect,$59.88,13/09/2023,India,Fintech,,https://yourstory.com/2023/09/agritech-startup-leads-connects-funding-fmcg-bl-agro-stake,
Melooha,$0.64,14/09/2023,Bengaluru,SaaS,,https://entrackr.com/2023/09/astrology-saas-startup-melooha-raises-angel-round/,Streak Ventures LLC
K12 Techno Services,,14/09/2023,India,Edtech,Undisclosed,https://entrackr.com/2023/09/kedaara-invests-in-k12-techno-provides-partial-exit-to-peak-xv/,Kedaara Capital
ThinkMetal,$0.30,13/09/2023,Chennai,Deep Tech,Pre-Seed,https://entrackr.com/2023/09/100x-vc-leads-pre-seed-round-in-deep-tech-hardware-startup-thinkmetal/,100X.VC;SAT Industries;KRS Jamwal;Uday Sodhi
Kale Logistics,$30.00,12/09/2023,India,Logistics,Series B,https://entrackr.com/2023/09/inflexor-backed-kale-logistics-raises-30-mn-in-series-b/,Creaegis Advisors
BillMe,,12/09/2023,Mumbai,Fintech,Acquisition,https://entrackr.com/2023/09/fintech-unicorn-razorpay-acquires-billme/,Razorpay
The State Plate,,11/09/2023,India,Foodtech,Acquisition,https://entrackr.com/2023/09/justmyroots-acquires-the-state-plate/,JustMyRoots
TSS Trackwizz,,11/09/2023,India,Regtech,Undisclosed,https://entrackr.com/2023/09/westbridge-invests-in-regulatory-tech-company-tss-trackwizz/,WestBridge Capital
Smartstaff,,11/09/2023,Bengaluru,Consumer Services,Undisclosed,https://inc42.com/buzz/blue-collar-staffing-platform-smartstaff-raises-funding-from-persol-group/,Persol Group
eSamudaay,,12/09/2023,India,Ecommerce,Acquisition,https://inc42.com/buzz/1bridge-acquires-esamudaays-technology-assets-to-boost-district-commerce/,1Bridge
Leads Connect,$59.88,14/09/2023,India,Agritech,,https://inc42.com/buzz/fmcg-major-bl-agro-infuses-inr-500-cr-into-agritech-startup-leads-connect/,BL Agro Industries
Xtracap Fintech,,13/09/2023,Gurugram,Fintech,Acquisition,https://inc42.com/buzz/iifl-fintech-fund-diversifies-portfolio-acquires-a-majority-stake-in-xtracap-fintech/,IIFL Fintech Fund
Port,,14/09/2023,India,Media & Entertainment,Seed,https://inc42.com/buzz/port-bags-funding-from-narayana-murthys-catamaran-to-launch-a-messaging-app/,Catamaran
Videonetics,,15/09/2023,India,Enterprise Tech,Acquisition,https://inc42.com/buzz/pe-firm-florintree-acquires-a-significant-stake-in-video-analytics-platform-videonetics/,Florintree
Le Petit Lunetier,$4.00,12/09/2023,Paris,Ecommerce,,https://inc42.com/buzz/lenskart-backed-neso-brands-invests-4-mn-in-paris-based-eyewear-brand/,Neso Brands
Third Wave Coffee,$35.00,14/09/2023,India,Foodtech,,https://yourstory.com/2023/12/third-wave-coffee-westbridge-layoff-restructuring-funding-creaegis,Creaegis;Westbridge Capital;Sujeet Kumar
Pepperfry,$23.00,11/09/2023,Mumbai,Ecommerce,,https://yourstory.com/2023/12/bertelsmann-pepperfry-furniture-funding-financials-ashish-shah,
Dreamfly Innovations,$0.30,15/09/2023,India,Battery Tech,,https://yourstory.com/2023/09/daily-roundup-startup-news-update-friday-september-15,Rebalance Angel Community;CIIE.CO
SALT,,13/09/2023,India,Oral Care,Pre-Seed,https://yourstory.com/2023/09/startup-news-and-updates-daily-roundup-september-13-2023,Dr Viraj Doshi
Ivy Health and Life Sciences,$62.87,12/09/2023,Punjab,Healthcare,,https://yourstory.com/2023/09/indiarf-invest-525-cr-in-ivy-health-and-life-science-pvt-limited,India Resurgence Fund
Mitsu,,12/09/2023,India,Healthtech,Undisclosed,https://yourstory.com/2023/09/gaurav-burman-invests-mental-health-startup-mitsu,Gaurav Burman
TSS Consultancy,,11/09/2023,Mumbai,Regtech,Undisclosed,https://yourstory.com/2023/09/westbridge-capital-tss-consultancy-rs-900-cr-valuation,WestBridge Capital
Navars Edutech,,11/09/2023,India,Edtech,Undisclosed,https://yourstory.com/2023/09/startup-news-and-updates-daily-roundup-september-11-2023,JITO Incubation and Innovation Foundation
Kale Logistics Solutions,$30.00,12/09/2023,India,SaaS,Series B,https://yourstory.com/2023/09/kale-logistics-solutions-raises-30-m-in-series-b-round-creaegis,Creaegis
Mochiko Shoes,,14/09/2023,India,Footwear,Acquisition,https://yourstory.com/2023/09/agilitas-sports-acquires-mochiko-shoes-retail-plans-puma-abhishek-ganguly,Agilitas Sports
