Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
DPDzero,$3.25,04/10/2023,India,Fintech,Seed,https://inc42.com/buzz/dpdzero-funding-reduce-loan-delinquencies-lenders/,Blume Ventures;India Quotient
Lenskart,$55.00,04/10/2023,India,General,Acquisition,https://inc42.com/buzz/cci-kedaara-capital-acquiring-1-74-stake-lenskart/,
ClearFeed,$2.70,04/10/2023,Bengaluru,Deeptech & AI,Seed,https://inc42.com/buzz/clearfeed-bags-2-7-mn-to-provide-enterprises-ai-powered-conversational-support-platform/,Peak XV’s Surge;8VC
Mensa Brands,$40.00,05/10/2023,India,E-commerce,Debt,https://inc42.com/buzz/mensa-brands-raises-40-mn-in-debt-funding-from-evolutionx/,Accel Partners;Falcon Edge Capital;Prosus;Tiger Global Management as its investors
Bizongo,$50.00,05/10/2023,India,General,Series E,https://inc42.com/buzz/a-day-after-50-mn-fundraise-bizongo-lays-off-50-employees/,Schroder Adveq;IFC;Chiratae Ventures;B Capital
Reliance Retail,$594.73,07/10/2023,India,General,,https://inc42.com/buzz/after-kkr-qia-reliance-retail-raises-inr-4966-cr-from-adia/,
Roopya,$0.61,03/10/2023,India,General,Pre-Seed,https://yourstory.com/2023/10/startup-news-and-updates-daily-roundup-october-3-2023,100X
Altitude,$1.10,04/10/2023,Delhi,General,Pre-Seed,https://yourstory.com/2023/10/startup-daily-news-roundup-funding-investment,
Reliance Retail,$594.73,06/10/2023,India,General,,https://yourstory.com/2023/10/reliance-retail-adia-investment-india-economy-funding,
Aampe,$7.50,05/10/2023,India,Deeptech & AI,Pre-Series A,https://yourstory.com/2023/10/aampe-secures-75-million-in-funding-from-matrix-partners-and-peak-xv-partners,Matrix Partners India;Peak XV
FlexifyMe,$1.00,05/10/2023,Chandigarh,Healthtech,Pre-Series A,https://yourstory.com/2023/10/startup-news-updates-daily-roundup-october-5-2023,Flipkart Ventures
Bizongo,$50.00,04/10/2023,India,E-commerce,Series E,https://yourstory.com/2023/10/bizongo-raises-usd-50-m-funding-from-existing-investors,Schroder Adveq
Ola Electric,$300.00,07/10/2023,India,EV,Series E,https://entrackr.com/2023/10/decoding-ola-electric-300-mn-series-e-financing-round/,"Temasek;Temasek (V-Sciences, MacRitchie);Blue Investments;DIG Investments;Tiger Global;Tekne Private Ventures"
PublishME,$2.00,04/10/2023,Turkey,Gaming,Acquisition,https://inc42.com/buzz/nodwins-singapore-subsidiary-acquires-100-stake-in-game-marketing-agency-publishme/,NODWIN Gaming
Bolt.Earth,$20.00,05/10/2023,India,Clean Tech,Series B,https://inc42.com/buzz/charging-infra-provider-bolt-earth-raises-20-mn-from-prime-venture-itigo-funds-others/,Union Square Ventures;Prime Venture Partners;ITIGO Funds
Sixer,,05/10/2023,India,Gaming,Acquisition,https://inc42.com/buzz/exclusive-dream11-acquires-fantasy-sports-platform-sixer/,Dream11
TrustCheckr,,06/10/2023,Bengaluru,Enterprise Tech,Acquisition,https://inc42.com/buzz/truecaller-bolsters-enterprise-offering-with-acquisition-of-bengaluru-based-trustcheckr/,Truecaller
Induced AI,$2.30,04/10/2023,India,Artificial Intelligence,,https://yourstory.com/2023/10/teen-led-induced-ai-secures-2-3m-automation-tech,Sam Altman;Peak XV
YouVah,$0.21,07/10/2023,India,Edtech,Pre-Seed,https://yourstory.com/2023/10/startup-news-and-updates-daily-roundup-october-7-2023,CIIE.CO IIM Ahmedabad;American Chase founders
Bizongo,$50.00,06/10/2023,India,B2B,,https://yourstory.com/2023/10/bizongo-cuts-15-percent-workforce-50-million-funding-round,Schroder Adveq;IFC;Chiratae Ventures;B Capital;British International Investment
