Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
GoMechanic,$12.57,30/12/2019,Gurugram,EV & Mobility,Series B,https://entrackr.com/2019/12/gomechanic-secures-rs-105-cr-from-chiratae-sequoia/,Chiratae;Sequoia;Chiratae Ventures;Sequoia Capital;Kunal Bahl;Rohit Bansal;Dhianu Das
HomeLane,$77.00,28/12/2019,India,Fintech,Series D,https://entrackr.com/2019/12/funding-indian-startups-week-dec-5/,Evolvence India Fund;Pidilite Industries;FJ Labs;Sixth Sense Ventures;German development finance institution DEG;DSG Consumer Partners;Blume Ventures;Accel Partners;JSW Ventures;Colgate Palmolive Asia Pacific
Eduisfun,$23.95,24/12/2019,Mumbai,Edtech,,https://entrackr.com/2019/12/eduisfun-secures-rs-200-cr-deepak-parekh-amitabh-bachchan/,Piyush Pandey;Russell Parena
Ruangguru,$150.00,26/12/2019,India,Edtech,Series C,https://yourstory.com/2019/12/funding-alert-edtech-startup-ruangguru-general-atlantic-ggv-capital,General Atlantic;GGV Capital
Aye Finance,$12.81,26/12/2019,India,Fintech,Debt,https://yourstory.com/2019/12/aye-finance-debt-funding-blueorchard,Capital G
FarmERP,$250.00,30/12/2019,Pune,Agritech,Series A,https://yourstory.com/2019/12/funding-pune-agritech-farmerp-technogen,Bertelsmann India;Accel;Chirate Ventures;Aavishkar Bharat Fund
Leverage Edu,$1.50,30/12/2019,Delhi,Edtech,,https://yourstory.com/2019/12/funding-alert-university-admissions-company-leverage-edu-dsg-blume,
LeverageEdu,$1.50,28/12/2019,New Delhi,Edtech,,https://inc42.com/buzz/leverageedu-raises-1-5mn-to-fuel-expansion-in-tier-2-3-cities/,Blume Ventures
MavenHive,,26/12/2019,Bengaluru,SaaS,Acquisition,https://entrackr.com/2019/12/sachin-bansals-navi-acquires-tech-consulting-startup-mavenhive/,Navi Technologies
Grofers,$5.00,24/12/2019,Gurugram,E-commerce,Series F,https://entrackr.com/2019/12/exclusive-softbank-valued-grofers-644-mn/,SoftBank Vision Fund Growth
FlytBase,,24/12/2019,Pune,Deeptech & AI,Seed,https://yourstory.com/2019/12/funding-alert-indo-us-aerial-robotics-startup-flytbase,
XpressBees,$10.00,27/12/2019,Pune,Logistics,Series D,https://yourstory.com/2019/12/funding-alert-alibaba-logistics-startup-xpressbees,Alibaba
Bombay Shaving Company,$6.30,26/12/2019,Gurugram,E-commerce,Series A,https://inc42.com/buzz/bombay-shaving-company-bags-6-5-mn-to-expand-presence/,Sixth Sense Ventures;Colgate Palmolive Asia Pacific;Fireside Ventures
Vimobin Labs,,27/12/2019,Bengaluru,Deeptech & AI,Seed,https://inc42.com/startups/exclusive-indias-vimobin-labs-raises-seed-funds-to-take-on-google-stadia-nvidia-in-cloud-gaming/,FirstCheque.vc;Ranjit Radhakrishnan;Farooq Adam;Shubh Malhotra;Aprameya Radhakrishnan;Aaryaman Vir
