Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
FlatFurnish,$1.96,08/01/2016,Gurugram,E-commerce,Series A,https://inc42.com/flash-feed/flatfurnish-raises-funding/,LightBox VC
FreshMenu,$16.50,08/01/2016,Bengaluru,Foodtech,Pre-Series A,https://inc42.com/flash-feed/freshmenu-funding/,Zodius Capital
Shopclues,$100.00,12/01/2016,Gurugram,E-commerce,Series D,https://inc42.com/flash-feed/shopclues-raises-100-mn-from-tiger-global/,
Bus,$2.00,12/01/2016,India,General,Series A,https://inc42.com/flash-feed/ibus-series-a-funding/,Ram Sellaratnam;Subash Vasudevan;Sunil Menon;Airtel;Essar
SavvyMob,$1.00,09/01/2016,India,General,Seed,https://inc42.com/flash-feed/savvymob-raises-1mn-mohandas-pai/,
MakeMyTrip,$180.00,08/01/2016,India,Travel Tech,,https://inc42.com/buzz/chinas-ctrip-com-invests-180-mn-in-makemytrip/,Ctrip.com
Gyaanzone,,08/01/2016,Mumbai,Edtech,Undisclosed,https://inc42.com/flash-feed/gyaanzone-raises-funding/,GBIM Technologies
ConfirmTKT,$0.25,08/01/2016,Bangalore,Travel Tech,Seed,https://inc42.com/flash-feed/confirmtkt-raises-seed-funding/,Venture Catalysts
Melorra,$5.00,08/01/2016,India,E-commerce,Seed,https://inc42.com/buzz/melorra-raises-5-mn-from-lightbox-ventures/,Lightbox Ventures
Lumiere Organic,,10/01/2016,Bangalore,Foodtech,Undisclosed,https://inc42.com/flash-feed/lumiere-organic-funding/,
Fashionablyin,,11/01/2016,Mumbai,E-commerce,Undisclosed,https://inc42.com/flash-feed/fashionablyin-funding/,Ranjan Mahtani
Wishup,,12/01/2016,New Delhi,SaaS,Seed,https://inc42.com/flash-feed/wishup-raises-seed-funding/,TracxnLabs;500 Startups;Mato Peric
Happy2Refer,$0.25,13/01/2016,Mumbai,SaaS,,https://inc42.com/flash-feed/happy2refer-raises-angel-funding/,Equity Crest;Vinners;Sparknext
CarTrade,$145.00,13/01/2016,Mumbai,E-commerce,,https://inc42.com/flash-feed/cartrade-raises-145mn/,Temasek;March Capital;Warburg Pincus
Care24,$4.00,13/01/2016,Mumbai,Healthtech,Series A,https://inc42.com/flash-feed/care24-raises-4-mn/,SAIF Partners;India Quotient
Snapshopr,,14/01/2016,Bangalore,Deeptech & AI,Undisclosed,https://inc42.com/flash-feed/snapshopr-funding/,Amod Malviya;Pallav Nadhani;Apurva Dalal;Saran Chatterjee;Rahul Chari;Bikash Barai;Bragadish Sureshkumar
AllGo Embedded Systems,,14/01/2016,Bangalore,Deeptech & AI,Acquisition,https://inc42.com/flash-feed/visteon-acquires-allgo-embedded-systems/,Visteon Corporation
Bucker,,13/01/2016,Hyderabad,SaaS,Seed,https://inc42.com/flash-feed/bucker-gets-funding-from-50k-ventures-others/,50K Ventures;Munish Jauhar;Pulkit Jain;Rohit Narang
Roder,$0.25,13/01/2016,New Delhi,EV & Mobility,Seed,https://inc42.com/flash-feed/roder-raise-seed-funding/,Unicorn India Ventures
Zapr,,14/01/2016,Gurgaon,Media & Entertainment,Undisclosed,https://inc42.com/flash-feed/zapr-funding/,Flipkart;Saavn;Micromax;Dhiraj Rajaram;Ambiga Dhiraj;Dinesh Agarwal;Samir Bangara;Sanjay Nath;Arihant Patni
Evibe.in,,14/01/2016,Bangalore,E-commerce,Undisclosed,https://inc42.com/flash-feed/evibe-online-marketplace-party-services-gets-funding/,Hyderabad Angels;Lalit Mangal;Vikas Malpani;Gaurav Bhalotia;LV Prasad & Co.
Buildkar,,14/01/2016,Bangalore,E-commerce,Seed,https://inc42.com/flash-feed/buildkar-funding/,Mustafa Wajid;Umang Kumar;Naresh Narasimhan;Prasad VL;Sameer Govani
Orahi,$0.42,14/01/2016,Gurugram,General,,https://yourstory.com/2016/01/orahi-funding,
FreshMenu,$38.00,11/01/2016,Bengaluru,Edtech,Pre-Series A,https://yourstory.com/2016/01/funding-roundup-january-first-week,Zodius Capital;Lightspeed Venture Partners
SavvyMob,,10/01/2016,Bengaluru,Travel,Seed,https://yourstory.com/2016/01/savvymob-seed-funding,Aarin Capital;LetsVenture
Melorra,$5.00,09/01/2016,Bengaluru,E-commerce,,https://yourstory.com/2016/01/melorra-com-funding,Lightbox Ventures
