Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Aye Finance,$37.13,13/12/2023,India,Fintech,Series E,https://inc42.com/buzz/aye-finance-raises-inr-310-cr-to-expand-geographies/,
Vegrow,$46.00,13/12/2023,Bengaluru,Agritech,Series B,https://inc42.com/buzz/agritech-startup-vegrow-raises-46-mn-from-gic-others-to-expand-presence/,Prosus Ventures;Singapore-based GIC;Matrix Partners India;Elevation Capital;Lightspeed Venture Partners
Udaan,$340.00,14/12/2023,Bengaluru,E-commerce,Series E,https://inc42.com/buzz/b2b-ecommerce-unicorn-udaan-340-mn-mg-prudential-others/,UK-based savings;G Prudential;Lightspeed Venture Partners;DST Global
SimYog,$2.40,14/12/2023,Bengaluru,Deeptech & AI,Pre-Series A,https://inc42.com/buzz/simyog-raises-inr-20-cr-to-help-hardware-developers-test-electronic-components/,Mela Ventures;1Crowd;IdeaSpring
Burger Singh,$52.00,14/12/2023,Mumbai,Foodtech,Series A,https://inc42.com/buzz/burger-singh-bags-funding-from-turner-morrison-existing-investors/,Negen Capital in July last year;Homage Ventures LLP – Office of Aditya Ghosh;Thapar Family Trust’s Vikramaditya Mohan Thapar;Mumbai Angels;LetsVentures
QNu Labs,$6.50,14/12/2023,India,General,,https://inc42.com/buzz/qnu-labs-bags-6-5-mn-to-provide-quantum-technology-based-cybersecurity-solutions/,Ashish Kacholia of Lucky Investments
Ather,$16.80,15/12/2023,Bengaluru,EV & Mobility,,https://inc42.com/buzz/hero-motocorp-to-invest-16-8-mn-in-ather-energy-for-additional-3-stake/,
Cipla,$5.03,15/12/2023,Mumbai,General,Acquisition,https://inc42.com/buzz/cipla-raises-stake-in-digital-tech-startup-goapptiv-to-22-99-for-inr-42-cr/,
Exponent Energy,$26.40,14/12/2023,Bengaluru,Logistics,Pre-Series A,https://entrackr.com/2023/12/exponent-energy-raises-26-4-mn-in-series-b-led-by-eight-roads-ventures/,Eight Roads Ventures;Lightspeed;Arun Vinayak;Sanjay Byalal;Exponent Energy simplifies energy for EVs
Agilitas,$12.00,13/12/2023,Bengaluru,Fintech,Series A,https://entrackr.com/2023/12/former-puma-india-execs-startup-agilitas-raises-12-mn-from-nexus/,Convergent Finance LLP
Snitch,$13.00,13/12/2023,Bengaluru,D2C,Series A,https://entrackr.com/2023/12/shark-tank-fame-d2c-brand-snitch-raises-13-mn-in-series-a/,SWC Global;IvyCap;IvyCap Ventures
Aliste Technologies,$1.00,12/12/2023,Delhi,General,,https://entrackr.com/2023/12/aliste-technologies-raises-1-mn/,YourNest Venture Capital;Artha Venture;Artha Venture Fund;Dholakia Ventures;KRS Jamwal;Anikarth Ventures
Nat Habit,$10.20,12/12/2023,India,E-commerce,Series A,https://entrackr.com/2023/12/d2c-brand-nat-habit-raises-10-2-mn-in-series-b-led-by-bertelsmann/,Bertelsmann;Bertelsmann India Investments;Amazon India Fund;Mirabilis Investment Trust;Sharrp Ventures also participated in the round;Fireside Ventures
Udaan,$340.00,15/12/2023,Bengaluru,Fintech,Series E,https://yourstory.com/2023/12/scoring-groceries-xume-startup-udaan-funding-round-disability-rights,
Vedanta,$1250.00,14/12/2023,India,General,Debt,https://yourstory.com/2023/12/vedanta-secures-125-billion-debt-refinancing,
