Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Freshdesk,$55.00,01/11/2016,Chennai,SaaS,Series E,https://inc42.com/flash-feed/freshdesk-series-f/,Sequoia Capital India;Tiger Global;Accel Partners;Google Capital
Westland,,31/10/2016,Chennai,E-commerce,Acquisition,https://inc42.com/flash-feed/amazon-acquires-westland/,Amazon
Impact Analytics,$0.75,31/10/2016,Bengaluru,Deeptech & AI,,https://inc42.com/flash-feed/impact-analytics-funding/,Aarin Capital;Michael Herzig;Ashish Lakhanpal
PickMyLaundry,,01/11/2016,Gurugram,Consumer Services,Undisclosed,https://inc42.com/flash-feed/pickmylaundry-secures-angel-funding/,Kedar Lele;GreenHouse Ventures Accelerator
LaundryAnna,$0.15,02/11/2016,Bengaluru,Consumer Services,Seed,https://inc42.com/flash-feed/laundryanna-raises-seed-funding/,angel investors
LetsMD,,02/11/2016,Delhi,Healthtech,Undisclosed,https://inc42.com/flash-feed/letsmd-funding/,Calcutta Angels Network;LetsVenture;Anupam Mittal;Currae Healthtech Fund
Sattviko,,02/11/2016,Delhi,Foodtech,Undisclosed,https://inc42.com/flash-feed/sattviko-funding/,Raman Roy;Ashish Gupta;Yogesh Andlay;Vaibhav Jain
DoSelect,,03/11/2016,Bengaluru,SaaS,Seed,https://inc42.com/flash-feed/doselect-funding/,3one4 Capital;Mumbai Angels;Aarin Capital;Singapore Angel Network
Servicemykar,,03/11/2016,Bengaluru,EV & Mobility,Acquisition,https://inc42.com/flash-feed/bookmytime-acquires-servicemykar/,BookMyTime
TalentNext,$1.00,31/10/2016,Mumbai,Media & Entertainment,Seed,https://inc42.com/flash-feed/talentnext-seed-funding/,Karanpal Singh
Xanadu Heights,,03/11/2016,San Francisco,Gaming,Seed,https://inc42.com/flash-feed/xanadu-redcliffe-funding/,RedCliffe Capital
The Gourmet Jar,,04/11/2016,Noida,Foodtech,Undisclosed,https://inc42.com/flash-feed/gourmet-jar-funding/,Chandigarh Angels Network
Bizongo,$3.00,04/11/2016,Mumbai,E-commerce,Series A,https://yourstory.com/2016/11/bizongo-series-a-idg-ventures,IDG Ventures;Accel Partners
Pickmylaundry,$0.01,31/10/2016,Gurugram,E-commerce,,https://yourstory.com/2016/10/exclusive-demand-laundry-startup-pickmylaundry-secures-200k-angel-round,
Zarget,$6.00,02/11/2016,India,SaaS,Series A,https://yourstory.com/2016/11/zarget-funding-2,Sequoia Capital;Accel;Matrix Partners;Sequoia Capital India
