Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Headout,$10.00,13/07/2018,Bengaluru,General,Series A,https://inc42.com/buzz/with-10-mn-funding-headout-looks-to-expand-local-experiences-to-100-cities-by-2019/,Nexus Venture Partners
McXtra,$1.30,13/07/2018,India,Fintech,Pre-Series A,https://inc42.com/buzz/digital-insurance-startup-mcxtra-raises-1-3-mn-in-funding/,
IndiaLends,$10.00,09/07/2018,Delhi,Fintech,Series B,https://inc42.com/buzz/consumer-lending-startup-indialends-raises-10-mn-to-launch-a-new-product-line/,ACPI Investment Managers;Ganesh Ventures;Amex Ventures;DSG Consumer Partners;AdvantEdge Partners
Groww,$1.60,09/07/2018,Bengaluru,Fintech,Pre-Series A,https://inc42.com/buzz/y-combinator-backed-groww-raises-1-6-mn-pre-series-a-funding/,Insignia Ventures Partners;Lightbridge Partners;Kairos;Mukesh Bansal;Ankit Nagori
Livspace,$40.00,09/07/2018,India,Real Estate Tech,,https://inc42.com/buzz/tpg-may-invest-40-mn-in-interior-design-company-livspace/,TPG Growth
TruckEasy,,11/07/2018,Bengaluru,Logistics,Acquisition,https://inc42.com/buzz/tata-motors-buys-26-stake-in-logistics-startup-truckeasy/,Tata Motors
Synthera Biomedical,,10/07/2018,Pune,Healthtech,Seed,https://inc42.com/buzz/1crowd-and-birac-invests-in-healthcare-startup-synthera-biomedical/,1Crowd;BIRAC
AblePlus,,10/07/2018,Mumbai,Deeptech & AI,Acquisition,https://inc42.com/buzz/oyo-makes-first-bet-in-iot-with-acquisition-of-ableplus/,OYO
Shop101,$5.00,11/07/2018,India,E-commerce,,https://inc42.com/buzz/stellaris-venture-partners-led-5-mn-funding-in-social-ecommerce-startup-shop101/,Stellaris Venture Partners;Vy Capital;Raghunandan G;Ramakant Sharma
Magic Crate,,11/07/2018,Bengaluru,Edtech,Undisclosed,https://inc42.com/buzz/education-startup-magic-crate-raises-funding-from-fireside-ventures/,Fireside Ventures;3one4 Capital
Mobycy,$3.00,13/07/2018,Gurugram,EV & Mobility,,https://inc42.com/buzz/dockless-bike-sharing-startup-mobycy-may-soon-raise-3-mn/,Venture Catalysts;IDG Ventures;Orios Venture Partners
Kobster,,13/07/2018,Chennai,E-commerce,Pre-Series A,https://inc42.com/buzz/incubate-fund-leds-pre-series-a-funding-in-chennais-e-procurement-startup-kobster/,Incubate Fund;Chandigarh Angel Network;ANME;LetsVenture
SmartVizX,$1.45,11/07/2018,Noida,Deeptech & AI,Pre-Series A,https://inc42.com/buzz/ian-yournest-invest-1-45-mn-in-virtual-reality-startup-smartvizx/,YourNest Venture Capital;Indian Angel Network (IAN)
Headout,$33.00,14/07/2018,Mumbai,Fintech,Pre-Series A,https://entrackr.com/2018/07/funding-indian-startups-week-july-2/,Reliance Big Entertainment;Dr;Stellaris Venture Partners;London-based ACPI Investment Managers;India-focused Ganesh Ventures
Wishberry,$1.20,12/07/2018,Mumbai,General,Pre-Series A,https://entrackr.com/2018/07/crowdfunding-wishberry-rs-10-cr-reliance/,Reliance Big Entertainment;Dr;Rajan Anandan (Google);Amit Ranjan (SlideShare);Alok Mittal (IAN);Venkat S Raju (Kyron Global)
SmartVizX,$1.20,12/07/2018,Gurugram,Logistics,Pre-Series A,https://yourstory.com/2018/07/smartvizx-raises-funding-paytm-launches-forex-services-daily-capsule,
TruckEasy,,10/07/2018,Bengaluru,Logistics,Undisclosed,https://yourstory.com/2018/07/tata-motors-picks-26-stake-in-three-year-old-freight-aggregator-truckeasy,Tata Motors Finance Holdings
Placio,$0.05,10/07/2018,Delhi-NCR,Foodtech,Seed,https://yourstory.com/2018/07/placio-acquires-subscription-based-foodtech-startup-paco-meals,
MEngage,$0.17,14/07/2018,Jaipur,Healthtech,Seed,https://yourstory.com/2018/07/hyper-personalised-physician-engagement-app-mengage-raises-seed-funding-175k,Siddharth Agarwal;Mahaveer Sharma;Amit Singal;100 Cofounders Lab
