Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Stockal,$9.00,15/04/2022,Bengaluru,Fintech,,https://inc42.com/buzz/fintech-startup-stockal-raises-9-mn-to-enter-south-east-asian-markets/,PEAK6;ARC Group Ventures;Trica;7Square;AZ Ventures;Czar Capital;Riso Capital;Hashed
Mn,$532.00,16/04/2022,Bengaluru,Healthtech,Acquisition,https://inc42.com/buzz/funding-galore-from-rapido-to-medikabazaar-over-532-mn-raised-by-indian-startups-this-week/,
Euler Motors,$5.00,18/04/2022,New Delhi,EV & Mobility,Series B,https://inc42.com/buzz/ev-startup-euler-motors-raises-5-mn-from-moglix-valuation-soars-to-70-mn/,QRG Investments;Holdings;Inventus Capital India;Blume Ventures;ADB Ventures;Jetty Ventures
Prakriti,$5.00,18/04/2022,Delhi,EV & Mobility,Pre-Series A,https://inc42.com/buzz/prakriti-secures-lead-investment-from-ieg-as-part-of-its-5-mn-funding-round/,IEG Investment Banking Group
Exchange CoinDCX,$135.00,19/04/2022,India,Fintech,Series D,https://inc42.com/buzz/crypto-exchange-coindcx-135-mn-series-d-valuation-doubles-2-15-bn/,Pantera;Steadview;DraperDragon;Republic;Kindred
Headfone,$10.00,19/04/2022,India,General,Series A,https://inc42.com/buzz/audio-ott-startup-headfone-raises-10-mn-to-diversify-content-offerings/,Elevation Capital;Google’s Anshumani Ruddra;Hashed;Hotstar’s Ajit Mohan
Eeki Foods,$6.50,19/04/2022,India,Agritech,Series A,https://inc42.com/buzz/agritech-startup-eeki-foods-raises-6-5-mn-in-series-a-funding-plans-to-add-more-barren-land-for-farming/,General Catalyst;General Catalyst (GC);Avaana Capital;Better Capital
Rigi.Club,$10.00,20/04/2022,India,General,Series A,https://inc42.com/buzz/b2b2c-startup-rigi-club-secures-10-mn-in-series-a-funding-to-expand-team-products/,Accel Atoms;Sequoia Capital India;Stellaris Venture Partners;Accel India
Everstage,$13.00,20/04/2022,India,SaaS,Series A,https://inc42.com/buzz/saas-startup-everstage-closes-13-mn-funding-from-elevation-capital-others/,3one4 Capital;Chargebee’s Krish Subramanian;Rajaraman;Rippling’s Prasanna Sankar
Celcius,$4.50,20/04/2022,Mumbai,Logistics,Series A,https://inc42.com/buzz/cold-chain-startup-celcius-raises-4-5-mn-to-help-small-scale-regional-transporters-across-india/,Mumbai Angels;Supply Chain Labs;Endurance Capital;VCats;Keiretsu Forum;Huddle;EVAN
Nat Habit,$4.00,20/04/2022,India,E-commerce,Series A,https://inc42.com/buzz/nat-habit-bags-4-mn-funding-in-series-a-round-to-fuel-offline-expansion/,Fireside Ventures
WoodenStreet,$30.00,21/04/2022,Jaipur,General,Series A,https://entrackr.com/2022/04/exclusive-woodenstreet-raises-30-mn-in-series-b-round/,WestBridge;IAN Fund;Rajasthan Venture Capital Funds (RVCF) in June 2020
