Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
At,$59.88,28/10/2022,India,E-commerce,,https://inc42.com/buzz/boat-inr-500-cr-warburg-malabar-ipo-plans-withdrawn/,
EMotorad,$2.87,25/10/2022,India,EV & Mobility,Pre-Series A,https://inc42.com/buzz/ev-startup-emotorad-raises-inr-24-cr-to-make-health-focused-ebikes/,Green Frontier Capital (GFC);LetsVenture;And Ivy Growth associates;Ivy Growth associates
Mn,$503.00,22/10/2022,Mumbai,Edtech,Acquisition,https://inc42.com/buzz/funding-galore-from-byjus-to-dehaat-503-mn-raised-by-indian-startups-this-week/,
Impact Analytics,$10.00,26/10/2022,India,SaaS,Series A,https://inc42.com/buzz/impact-analytics-secures-10-mn-to-offer-better-pricing-solution-to-companies/,Argentum;Argentum Capital Partners
BYJU’S,$35.93,27/10/2022,India,Edtech,Debt,https://inc42.com/buzz/byjus-secures-inr-300-cr-loans-from-subsidiary-aakash/,
Udaan,$120.00,27/10/2022,Bengaluru,E-commerce,Debt,https://inc42.com/buzz/b2b-ecommerce-unicorn-udaan-bags-120-mn-in-debt-readying-for-ipo/,
BluSapphire,$9.20,27/10/2022,Hyderabad,SaaS,Series A,https://inc42.com/buzz/cybersecurity-startup-blusapphire-raises-9-2-mn-to-build-resilience-against-sophisticated-cyber-attacks/,Barings Private Equity India;VC firm Dallas Venture Capital;Binny Bansal-backed xto10x;RPG Ventures;Merisis Venture Partners
Serosoft,$3.59,27/10/2022,Indore,SaaS,,https://entrackr.com/2022/10/enterprise-saas-firm-serosoft-raises-rs-30-cr-led-by-sidbi-venture/,SIDBI Venture;SIDBI Venture Capital limited (SVCL)
Indus Valley,$11.98,26/10/2022,Chennai,D2C,Seed,https://entrackr.com/2022/10/exclusive-the-indus-valley-raises-fresh-round-at-over-rs-100-cr-valuation/,DSG;DSG Consumer Partners;Rukam Capital;Indiaxis Investments;Zend Advisors;Candle Advisors;Rajiv Pillai;Girish Gupte;Shavak Shrivastava;Chandu Nair;Kayar Raghavan;Anusha Narayan;Corrigendum;Mahendra Singh Negi
WATI,$23.00,26/10/2022,India,E-commerce,Series A,https://entrackr.com/2022/10/wati-raises-23-mn-from-tiger-sequoia-dst-and-shopify/,Tiger Global;Sequoia India;Sequoia Capital India;Southeast Asia
LUVIN,$0.29,25/10/2022,Delhi,D2C,Series A,https://entrackr.com/2022/10/pet-food-brand-luvin-raises-rs-2-4-cr/,
Read Serosoft,$3.59,27/10/2022,Indore,SaaS,Pre-Seed,https://yourstory.com/2022/10/funding-roundup-october-27-serosoft-himshakti-northern-arc-capital,Varun Agrawal of StarClinch
Devtron,$12.00,26/10/2022,Gurugram,General,,https://yourstory.com/2022/10/gurugram-startup-devtron-devops-platform-funding-insight-partners-kubernetes,Insight Partners
DealShare,$165.00,28/10/2022,Jaipur,E-commerce,Series E,https://entrackr.com/2022/10/decoding-dealshares-series-e-round-and-cap-table/,Tiger Global;ADIA;Alpha Wave;Kora Investment;DF International;Twenty Nine Capital
Fi,$62.00,26/10/2022,Bengaluru,Fintech,Series C,https://entrackr.com/2022/10/decoding-neobanking-platform-fis-series-c-round/,Alpha Wave;Temasek;QCM Holdings
Kinara Capital,$24.00,28/10/2022,Bengaluru,Fintech,,https://inc42.com/buzz/fintech-startup-kinara-capital-closes-24-mn-equity-funding-round/,British International Investment;Nuveen;Triple Jump
Northern Arc Capital,$50.00,27/10/2022,India,Fintech,Debt,https://inc42.com/buzz/northern-arc-capital-raises-50-mn-to-back-founders-with-customised-credit/,FMO
Icertis,$75.00,27/10/2022,India,SaaS,Debt,https://inc42.com/buzz/sap-backed-saas-unicorn-icertis-raises-75-mn-funding/,
Badshah Masala,$70.36,26/10/2022,India,FMCG,Acquisition,https://yourstory.com/2022/10/dabur-acquire-stake-badshah-masala-foods-spices-seasoning,Dabur India
Ness Digital Engineering,,27/10/2022,India,Digital Services,Acquisition,https://yourstory.com/2022/10/investment-firm-kkr-acquire-digital-services-ness,KKR
