Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Up,$1.30,10/11/2022,India,Fintech,Seed,https://inc42.com/buzz/zerodhas-rainmatter-backs-home-appliances-startup-up/,Zerodha’s fintech fund;Zerodha’s
Masai School,$10.00,08/11/2022,India,Edtech,Series B,https://inc42.com/buzz/masai-school-secures-10-mn-to-add-scholarships-upskilling-courses/,Omidyar Network India;Unitus Ventures;Alteria Capital;India Quotient;Alteria Capital also participated in the round
Agnikul,$20.00,07/11/2022,Chennai,Spacetech,Series A,https://inc42.com/buzz/exclusive-agnikul-raises-20-mn-funding-from-rocketship-vc-valuation-zooms-5x-to-180-mn/,
Chiratae,$90.90,08/11/2022,Bengaluru,Healthtech,Series C,https://inc42.com/buzz/chiratae-ventures-marks-first-close-of-inr-759-cr-growth-fund/,
Driffle,$3.40,08/11/2022,India,E-commerce,Seed,https://inc42.com/buzz/driffle-bags-funding-to-offer-improved-gaming-services-to-users/,BEENEXT;Kunal Shah;Maninder Gulati;Amit Damani;Archana Priyadarshani;Arun Venkatachalam
Keka,$57.00,09/11/2022,Hyderabad,General,Series A,https://inc42.com/buzz/keka-raises-57-mn-funding-help-smes-automate-hr-functions/,Westbridge Capital
CureBay,$5.99,09/11/2022,India,Healthtech,Series A,https://inc42.com/buzz/curebay-raises-inr-50-cr-funding-to-revolutionise-primary-healthcare-in-india/,Elevar Equity
Bold Finance,$1.50,10/11/2022,Mumbai,Fintech,Seed,https://inc42.com/buzz/exclusive-bold-finance-bags-seed-fund-from-kae-capital-others-to-3x-its-gold-loan-partners/,Kae Capital;Antler India;Uni Cards’ Nitin Gupta;Stride Venture’s Ishpreet Gandhi McKinsey’s Shashikant Dola;Avail Finance’s Tushar Mehndiratta;ITC PSPD’s Vadiraj Kulkarni
Garuda Aerospace,$5.00,10/11/2022,Chennai,General,,https://inc42.com/buzz/garuda-aerospace-raises-5-mn-to-build-advanced-drone-solutions-for-armed-forces/,
Amagi,$100.00,10/11/2022,India,SaaS,,https://inc42.com/buzz/amagi-raises-100-mn-funding-from-general-atlantic-valuation-surges-to-1-4-bn/,
Even,$15.00,11/11/2022,India,Healthtech,,https://inc42.com/buzz/healthtech-startup-even-secures-15-mn-funding-from-alpha-wave-lightrock-others/,Alpha Wave;Aspada’s Lightrock
Sanfe,$1.50,07/11/2022,Delhi,E-commerce,Series A,https://entrackr.com/2022/11/grooming-brand-sanfe-raises-1-5-mn-in-series-a2-funding/,Abhay Tandon;Yash Kotak
Read Driffle,$3.40,08/11/2022,Bengaluru,Gaming,Seed,https://yourstory.com/2022/11/funding-roundup-driffle-on2cook-symbio-generrics,BEENEXT;Dr Mayur Desai;Nirbhay Gandhi;Kunal Shah;Maninder Gulati;Amit Damani;Archana Priyadarshani;Arun Venkatachalam
Read Automovill,$0.26,10/11/2022,Bengaluru,EV & Mobility,Pre-Series A,https://yourstory.com/2022/11/funding-roundup-automovill-rainmatter-spintly-raise-early-stage-deals,Inflection Point Ventures
Supertails,$10.00,09/11/2022,Bengaluru,D2C,Series A,https://yourstory.com/2022/11/petcare-startup-supertails-raises-10-m-in-series-a-fireside-ventures,Fireside Ventures
CureBay,$5.99,10/11/2022,Bhubaneswar,Healthtech,Series A,https://entrackr.com/2022/11/elevar-equity-leads-rs-50-cr-in-curebay/,Elevar Equity
Iba Cosmetics,$10.00,09/11/2022,Ahmedabad,D2C,Series B,https://inc42.com/buzz/singapores-believe-pte-majority-stake-indian-d2c-brand-iba-cosmetics/,Believe Pte Ltd
Monsoon CreditTech,,09/11/2022,Gurugram,Fintech,Undisclosed,https://inc42.com/buzz/fintech-saas-monsoon-credittech-funding-launches-no-code-analytics-platform/,HDFC Capital;DMI Alternative Investment Fund - The Sparkle Fund;Top Shelf Equity Partners
Skye Air,$1.70,09/11/2022,Gurugram,Drone,Seed,https://inc42.com/buzz/drone-startup-skye-air-bags-funding-to-offer-first-last-mile-logistics-services/,Chiratae Ventures;Lead Angels;O2 Angels;Agility Ventures;LetsVenture;Rajeev Chitrabhanu;Ankit Nagori;Varun Alagh;Gautam Badalia;Ayush Lohia
SirionLabs,,09/11/2022,India,Enterprise Tech,Acquisition,https://inc42.com/buzz/contract-management-startup-sirionlabs-acquires-seattle-based-zendoc-to-enhance-offerings/,
Skye Air Mobility,$1.70,09/11/2022,India,Drone,Seed,https://yourstory.com/2022/11/funding-roundup-skye-air-mobility-monsoon-credittech-early-stage-funds,Chiratae Ventures;Lead Angels;O2 Angels;Agility Ventures;Lets Venture
ZikZuk Technologies (TaxSpanner),,09/11/2022,India,Fintech,Acquisition,https://yourstory.com/2022/11/startup-news-and-updates-daily-roundup-november-09,ZikZuk Technologies
Global Dental Services,$66.00,09/11/2022,India,Healthcare,,https://yourstory.com/2022/11/global-dental-services-raises-66-million-led-by-in,Investcorp;Tybourne Capital Management;SeaLink Capital Partners
Serentica Renewables,$400.00,08/11/2022,India,Cleantech,,https://yourstory.com/2022/11/kkr-invest-400million-decarbonization-platform-serentica-renewables,KKR
Assert AI,$2.00,07/11/2022,India,SaaS,,https://yourstory.com/2022/11/funding-roundup-assertai-dhiway-sanfe-meeraq-raise-capital,arya.ag;Prashant Purker
D2C Ecommerce,,07/11/2022,India,Ecommerce,Acquisition,https://yourstory.com/2022/11/startup-news-updates-daily-roundup-november-7-2022,D2C Ecommerce
GreenCell Express,$55.00,07/11/2022,India,EV,Debt,https://yourstory.com/2022/11/greencell-receives-55-million-sanction-leadin,Asian Development Bank;Asian Infrastructure Investment Bank;Clean Technology Fund
