Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
NowFloats,$10.00,24/01/2017,Hyderabad,General,Series A,https://inc42.com/flash-feed/nowfloats-raises-10-mn/,
LetsTransport,$4.00,24/01/2017,Bengaluru,E-commerce,Series A,https://inc42.com/flash-feed/letstransport-secures-funding/,Neelesh Bhatnagar;Rebright Partners
Games,$12.00,27/01/2017,Bengaluru,Gaming,Series A,https://inc42.com/flash-feed/gaming-99games-funding/,
CueMath,$15.00,23/01/2017,Delhi,Edtech,Series B,https://inc42.com/flash-feed/cuemath-series-b-funding/,CapitalG;Sequoia India
SmarterHi Communications,,23/01/2017,Pune,Enterprise Tech,Undisclosed,https://inc42.com/flash-feed/smarterhi-funding/,Singapore-based investor
CRON Systems,,23/01/2017,Delhi,Deeptech & AI,Pre-Series A,https://inc42.com/flash-feed/cron-yournest-funding/,YourNest
Khel Now,$0.50,23/01/2017,Delhi,Media & Entertainment,,https://inc42.com/flash-feed/khel-now-funding-2/,Indochine International
MastiTickets,,24/01/2017,Hyderabad,Media & Entertainment,Acquisition,https://inc42.com/flash-feed/bookmyshow-acquires-mastitickets/,BookMyShow
Aryaka,$45.00,25/01/2017,Milpitas,Enterprise Tech,Series D,https://inc42.com/flash-feed/aryaka-series-d-funding/,Third Point Ventures;Deutsche Telekom Capital Partners
Wishberry,,25/01/2017,Mumbai,Fintech,Pre-Series A,https://inc42.com/flash-feed/wishberry-funding-preseries-a/,Sharad Sharma;Rajan Anandan;Amit Ranjan;Alok Mittal;Venkat S Raju
RML AgTech,$4.00,25/01/2017,India,Agritech,,https://inc42.com/flash-feed/rml-agtech-funding/,IvyCap Ventures
Airmed Path Labs,$1.40,27/01/2017,Ahmedabad,Healthtech,,https://inc42.com/flash-feed/airmed-brand-capital-funding/,Brand Capital
99PerHour,$0.30,27/01/2017,Hyderabad,Consumer Services,Seed,https://inc42.com/flash-feed/99perhour-funding/,V Aanand R
