Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Flipkart,$1000.00,12/03/2016,India,E-commerce,,https://inc42.com/flash-feed/flipkart-to-raise-funding-report/,
Trucking Cube,$14.00,14/03/2016,India,Logistics,,https://inc42.com/flash-feed/trucking-cube-raises-about-14-mn-from-agarwal-movers-group/,
Swasthya,$4.00,15/03/2016,Ahmedabad,Healthtech,Series A,https://inc42.com/flash-feed/eswasthya-angel-funding/,
Flipclass,$1.00,15/03/2016,Bengaluru,Edtech,Seed,https://inc42.com/flash-feed/flipclass-funding/,Hareesh Ramanna;LetsVenture
Qlivery,$4.00,17/03/2016,Gurugram,Deeptech & AI,Pre-Series A,https://inc42.com/flash-feed/qlivery-raises-funding/,
Healthenablr,$0.66,17/03/2016,Mumbai,Healthtech,Series A,https://inc42.com/flash-feed/healthenablr-seed-funding/,
Wealthy,$0.19,17/03/2016,Bengaluru,Fintech,,https://inc42.com/flash-feed/wealthy-funding/,Abhishek Goyal;Raghunandan G
Myntra,$50.00,11/03/2016,India,E-commerce,,https://inc42.com/flash-feed/flipkart-infuses-50mn-in-myntra/,Flipkart
Jolly Food Fellow,,13/03/2016,Ahmedabad,Foodtech,Pre-Series A,https://inc42.com/flash-feed/jolly-food-fellow-funding/,Janak Parikh
PinkBlue.in,$0.16,14/03/2016,Bangalore,Healthtech,Seed,https://inc42.com/flash-feed/pinkblue-raises-seed-funding/,TermSheet.io;Ajay Modani;Dr V Ravinder;Anirudh Rastogi;Abhishek Jain;Rakesh Gakhar;Rajeev Mudumba;Nagendra Prasad Bhanuprakash;ShashiKant Singh
Icertis,$15.00,11/03/2016,India,SaaS,Series B,https://inc42.com/flash-feed/icertis-funding/,Ignition Partners;Greycroft Partners;Fidelity Growth Partners India
ProximiT,$0.15,15/03/2016,Pune,Deeptech & AI,,https://inc42.com/flash-feed/proximit-funding/,1Crowd
WorkIndia,,16/03/2016,Mumbai,Consumer Services,Undisclosed,https://inc42.com/flash-feed/workindia-raises-funding/,BEENEXT
Avagmah,,16/03/2016,Bangalore,Edtech,Undisclosed,https://inc42.com/flash-feed/avagmah-funding/,Kris Gopalakrishnan;Atul Nishar;Lionrock Capital;Ganesh Krishnan;Neeraj Bhargava
Liftiee,$0.11,17/03/2016,Mumbai,EV & Mobility,Seed,https://inc42.com/flash-feed/liftiee-seed-funding/,Rannvijay Singh;Anita Hassanandani
Gapoon,$0.15,16/03/2016,Bangalore,Consumer Services,,https://inc42.com/flash-feed/gapoon-funding/,Chandrashekar Tallapragada;Pankaj Kapoor
InstaReM,$5.00,16/03/2016,India,Fintech,Series A,https://yourstory.com/2016/03/instarem-funding,Vertex Ventures;Fullerton Financial Holdings;Global Founders Capital
