Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Easyrewardz,$2.00,14/11/2017,Mumbai,Enterprise Tech,Series A,https://inc42.com/buzz/easyrewardz-funding-customer-engagement/,TransContinental Venture Fund;Jitendra Gupta;Vinay Chatlani;Venture Catalysts
USPL,$32.00,18/11/2017,Hyderabad,Fintech,Pre-Series A,https://entrackr.com/2017/11/indian-startups-funding-news-8/,Vertex Ventures;Creditease Holdings;Dream Incubator;TransContinental Venture Fund;Kalaari Capital;IDG Ventures India
Kahaniya,$0.00,17/11/2017,Hyderabad,General,Seed,https://entrackr.com/2017/11/storytelling-startup-kahaniya-seed-funds/,
GolfLan,$1.20,15/11/2017,Delhi,SaaS,Acquisition,https://entrackr.com/2017/11/golf-aggregation-golflan-secures-1-2-mn/,
Active.Ai,$8.00,14/11/2017,Bengaluru,Fintech,Series A,https://entrackr.com/2017/11/active-ai-secures-8-million/,Vertex Ventures;Creditease Holdings;Dream Incubator;Kalaari Capital;IDG Ventures India
i2e1,$3.00,16/11/2017,Delhi,Deeptech & AI,Series A,https://entrackr.com/2017/11/i2e1-raises-fund/,Omidyar Network;Auxano Ventures;3one4 Capital
Amazon Seller Services,$450.00,15/11/2017,India,E-commerce,,https://entrackr.com/2017/11/amazon-invests-450-million-marketplace/,Amazon
StartupXseed Ventures,,13/11/2017,Bengaluru,Deeptech & AI,Undisclosed,https://entrackr.com/2017/11/startupxseed-ventures-onboards-canbank/,Canbank Venture Capital Fund
Universal Sportsbiz,$11.98,13/11/2017,India,E-commerce,,https://entrackr.com/2017/11/sachin-sportsbiz-uspl-100-crore-accel/,Accel Partners
