Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Mn,$225.00,10/09/2022,Chennai,Fintech,Acquisition,https://inc42.com/buzz/funding-galore-from-tata-1mg-to-zippmat-225-mn-raised-by-indian-startups-this-week/,
Yulu,$82.00,12/09/2022,India,EV & Mobility,Series B,https://inc42.com/buzz/ev-startup-yulu-raises-82-mn-to-offer-enhanced-baas-maas-services/,
Procol,$6.00,13/09/2022,India,Logistics,Series A,https://inc42.com/buzz/supply-chain-startup-procol-secures-6-mn-to-help-digitise-procurement-processes/,
Peer Robotics,$2.30,12/09/2022,India,General,Seed,https://inc42.com/buzz/peer-robotics-raises-funding-to-help-companies-automate-operations/,Kalaari Capital;Axilor Ventures;Connecticut Innovations;Innopact VC
Bits,$2.40,13/09/2022,Mumbai,Fintech,Acquisition,https://inc42.com/buzz/fractional-ownership-startup-hbits-raises-inr-20-cr/,IIFL chairman Nirmal Jain;Incred Capital;Jungle Ventures’ former executive Jayesh Parekh
Squarefeet,$10.00,13/09/2022,India,General,Series A,https://inc42.com/buzz/91squarefeet-raises-10-mn-to-help-companies-build-retail-stores/,Stellaris Venture Partners;Y Combinator;Betatron
Awiros,$7.00,14/09/2022,India,Deeptech & AI,Series A,https://inc42.com/buzz/deeptech-startup-awiros-raises-7-mn-to-help-companies-automate-video-ai-apps/,Inflexor Ventures;Exfinity Venture Partners
Centricity,$4.00,14/09/2022,India,Fintech,Pre-Seed,https://inc42.com/buzz/centricity-bags-4-mn-to-offer-plug-play-solutions-to-wealth-management-professionals/,Burman family office;Shantanu Agarwal;Arun Jain;LNJ Bhilwara Group’s Shantanu Agarwal;Polaris Software founder Arun Jain;Devesh Sachdev;Ankush Nijhawan;Purrshottam Bhaggeria;Devtron Labs’ Rajesh Razdan;TBO cofounder Ankush Nijhawan;Filatex Group’s Purrshottam Bhaggeria;Abhay Agarwal of the Burman family office
Recently Yulu,$6.00,14/09/2022,Bengaluru,EV & Mobility,Series A,https://inc42.com/buzz/revenue-up-3x-from-pre-covid-arr-stands-at-6-mn-dollar-currently-yulu-ceo/,Magna International to expand its EV fleet
Google-Backed DotPe,$54.50,15/09/2022,Gurugram,General,Series A,https://inc42.com/buzz/google-backed-dotpe-raises-54-5-mn-from-temasek-mufg-bank-others/,Google;Temasek;Info Edge Ventures;PayU;Naya Global Investments;Japan’s MUFG Bank;Naya Global Investments Pte
