Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Genext Students,$0.17,11/08/2016,India,Fintech,,https://inc42.com/flash-feed/genext-students-raises-209k1crowd/,
Crofarm,$1.50,11/08/2016,Gurugram,Agritech,Seed,https://inc42.com/flash-feed/crofarm-funding/,Himanshu Aggrawal
Tricog Health,,05/08/2016,Bangalore,Healthtech,Series A,https://inc42.com/flash-feed/tricog-raises-series-a/,Inventus Capital Partners;Blume Ventures
VST Travels,$0.03,06/08/2016,Kerala,Travel Tech,,https://inc42.com/flash-feed/vst-travels-27k-funding/,Promatus Group
AdPushup,,08/08/2016,US,Adtech,Series A,https://inc42.com/flash-feed/adpushup-funding-2/,Geniee;Purvi Capital
8TV,$0.50,08/08/2016,San Francisco,Media & Entertainment,,https://inc42.com/flash-feed/8tv-500k-funding/,Dheeraj Jain;Tidhar Carmeli;Thomas Korte
ZIPGRID,$0.20,08/08/2016,Mumbai,SaaS,,https://inc42.com/flash-feed/zipgrid-200k-1crowd-funding/,1Crowd
Labstreet,,10/08/2016,Gurgaon,Healthtech,Acquisition,https://inc42.com/flash-feed/niramaya-acquires-labstreet/,Niramaya Path Labs
MobiDent,,10/08/2016,Bengaluru,Healthtech,Undisclosed,https://inc42.com/flash-feed/ciie-iim-a-funding/,CIIE
Travelyaari,$7.00,10/08/2016,Bengaluru,Travel Tech,Series B,https://inc42.com/flash-feed/travelyaari-funding/,Gujarat Venture Finance Limited;Bennett Coleman & Co
Bombay Shaving Co.,$0.60,10/08/2016,New Delhi,E-commerce,Seed,https://inc42.com/flash-feed/bombay-shaving-co-funding/,Subramanian Ramadorai;Noshir Kaka
Vebbler,$0.50,10/08/2016,India,Media & Entertainment,,https://inc42.com/flash-feed/vebbler-500k-funding/,Anupam Mittal;Sharad Sharma;Venkat Raju;Pranav Pai;Siddarth Pai
FYNE Superfood,,10/08/2016,New Delhi,Foodtech,Acquisition,https://inc42.com/flash-feed/sattviko-fyne-acquisition/,Sattviko
Zenoti,$15.00,11/08/2016,Hyderabad,SaaS,,https://inc42.com/flash-feed/zenoti-norwestventure-funding/,Norwest Venture Partners;Accel India
Faircent,$1.50,11/08/2016,Gurgaon,Fintech,,https://inc42.com/flash-feed/faircent-1-5-mn-bccl/,Brand Capital
NonVeggies,,11/08/2016,Pune,Foodtech,Acquisition,https://inc42.com/flash-feed/easymeat-acquires-nonveggies/,EasyMeat
91springboard,,11/08/2016,Delhi,Real Estate Tech,Undisclosed,https://inc42.com/flash-feed/91sprinboard-funding-august-2016/,Khattar Holdings;ThirtyThree Investments;Soumitra Sharma;Deepak Sharma;Sumit Dayal
Nudgespot,,11/08/2016,Bengaluru,SaaS,Acquisition,https://inc42.com/flash-feed/boomtrain-nudgespot-acquisition/,Boomtrain
3DPhy,,11/08/2016,Gurgaon,Real Estate Tech,Acquisition,https://inc42.com/flash-feed/proptiger-acquires-3dphy/,PropTiger
Fusion Microfinance,$19.40,11/08/2016,Delhi,General,Series C,https://yourstory.com/2016/08/fusion-microfinance-raises-funds,BIO;Oikocredit
Innovaccer,$15.60,11/08/2016,Delhi,SaaS,Series A,https://yourstory.com/2016/08/innovaccer-funding,Westbridge Capital Partners
Nudgespot,,10/08/2016,Bengaluru,SaaS,Acquisition,https://yourstory.com/2016/08/boomtrain-acquires-nudgespot,Boomtrain
Doux Dentistry,,10/08/2016,Bengaluru,Healthtech,Undisclosed,https://yourstory.com/2016/08/iim-ahmedabad-invests-startups,CIIE
Labstreet,,09/08/2016,Gurgaon,Healthtech,Acquisition,https://yourstory.com/2016/08/niramaya-pathlabs-acquires-labstreet,Niramaya PathLabs
Tricog,,05/08/2016,Bengaluru,Healthtech,Series A,https://yourstory.com/2016/08/tricog-funding,Inventus Capital Partners;Blume Ventures
