Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Bn,$1500.00,12/02/2022,India,General,Acquisition,https://inc42.com/infocus/funding-galore/funding-galore-over-1-5-bn-raised-by-indian-startups-this-week/,Sequoia Capital India;Galaxy Digital;Galaxy Interactive;Tiger Global;Republic Capital
Swiggy,$200.00,13/02/2022,India,Foodtech,Acquisition,https://inc42.com/buzz/swiggy-to-acquire-dineout-for-200-mn-to-take-on-zomatos-dine-in-biz/,
Enabler BiteSpeed,$1.90,14/02/2022,Delhi,E-commerce,Seed,https://inc42.com/buzz/d2c-enabler-bitespeed-raises-funds-from-sequoia-surge-creds-kunal-shah-others/,Sequoia India’s Surge;First Cheque;Whiteboard Capital;Teachable founder Ankur Nagpal
RapiPay,$15.00,15/02/2022,India,Fintech,,https://inc42.com/buzz/rapipay-raises-15-mn-to-launch-digital-banking-super-app-and-scale-up-existing-payment-services/,Varun Jaipuria of RJ Corp;DLF Family Office;Rahul Gautam of Sheela Foam;Rohan Kumar of DS Group
Actyv.ai,$5.00,16/02/2022,Bengaluru,SaaS,Pre-Series A,https://inc42.com/buzz/actyv-ai-raises-funding-to-help-enterprises-transform-supply-chain/,
Nanonets,$10.00,16/02/2022,India,Deeptech & AI,Series A,https://inc42.com/buzz/nanonets-raises-10-mn-funding-to-help-enterprises-automate-document-workflow/,Elevation Capital;FarEye’s Gautam Kumar;Kushal Nahata;FarEye cofounders Gautam Kumar;ChargeBee cofounders Krish Subramanian;Rajaraman Santhanam
AGRIM,$10.00,17/02/2022,Gurugram,Fintech,Series A,https://inc42.com/buzz/b2b-agritech-startup-agrim-bags-10-mn-from-kalaari-axis-bank-to-serve-50-bn-agri-inputs-industry/,Kalaari Capital;Omnivore;India Quotient;Accion Venture Lab
DealShare,$45.00,17/02/2022,Bengaluru,E-commerce,Series E,https://inc42.com/buzz/dealshare-raises-45-mn-from-adia-valuation-reaches-1-7-bn/,
Pine Labs,$150.00,18/02/2022,India,Fintech,,https://entrackr.com/2022/02/pine-labs-raises-150-mn-from-alpha-wave-at-5-bn-valuation/,
Bullieverse,$4.00,18/02/2022,India,Web3 & Crypto,,https://entrackr.com/2022/02/metaverse-startup-bullieverse-raises-4-mn/,Srini Anala;Bullieverse offers gamers to enjoy an out-of-the-world experience combined
Sublime Life,$2.00,17/02/2022,India,General,,https://entrackr.com/2022/02/sublime-life-raises-nearly-2-mn-from-roots-ventures-others/,
Uniphore,$400.00,16/02/2022,Chennai,SaaS,Series D,https://entrackr.com/2022/02/uniphore-raises-400-mn-at-2-5-bn-valuation/,NEA at $2;NEA
Entri.app,$7.00,16/02/2022,Kochi,Edtech,Series A,https://entrackr.com/2022/02/edtech-startup-entri-app-raises-7-mn-in-series-a/,Omidyar Network India;Innospark Ventures;Boston-based Innospark Ventures;Integrated Capital
HealthySure,$1.20,16/02/2022,Mumbai,Insurtech,Pre-Series A,https://entrackr.com/2022/02/healthysure-raises-1-2-mn-in-fresh-round/,Inflection Point Ventures;We Founder Circle;Campus Fund;Dexter Angels;HEM Angels
Sutram,$2.07,16/02/2022,Kolkata,Fintech,,https://entrackr.com/2022/02/data-sutram-raises-2-07-mn-in-new-round/,Varanium Capital;Yatra Angel Network;DMI Finance’s Sparkle Fund;White Ventures;Seeders LLP;Indian Angel Network
Kenko Health,$12.00,15/02/2022,Bengaluru,Healthtech,Series A,https://entrackr.com/2022/02/kenko-health-raises-12-mn-in-series-a-led-by-sequoia/,Sequoia;Sequoia Capital India;Beenext;Orios;9Unicorns;Waveform as existing investors
EventX,$8.00,16/02/2022,India,SaaS,Series B,https://yourstory.com/2022/02/eventx-raises-series-b-round-funding,GL Ventures
GOQii,$50.00,16/02/2022,Mumbai,Healthtech,Series C,https://yourstory.com/2022/02/goqii-raises-50-million-series-c-funding-startup,Sumeru Ventures;Trifecta Capital;9 Unicorns;Venture Catalysts;Mitsui;The Times Group;Ascendo;Akbar Khan;Sanjay Narang
Ace Green Recycling,$7.00,17/02/2022,India,Cleantech,,https://entrackr.com/2022/02/ace-green-recycling-raises-7-mn-led-by-circulate-capital/,Circulate Capital;Climate Angels
Oro Money,$4.31,17/02/2022,Chennai,Fintech,Series A,https://entrackr.com/2022/02/exclusive-binny-bansals-021-capital-leads-series-a-in-oro/,021 Capital;Premji Invest
GetMyUni,,16/02/2022,India,Edtech,Acquisition,https://entrackr.com/2022/02/exclusive-collegedekho-acquires-getmyuni-in-all-cash-deal/,CollegeDekho
Proactive For Her,$5.50,16/02/2022,Bengaluru,Healthtech,Series A,https://entrackr.com/2022/02/proactive-for-her-raises-5-5-mn-in-series-a-round/,Vertex Ventures South East Asia and India;Nexus Venture Partners
GreenPod Labs,$0.49,15/02/2022,Chennai,Agritech,Pre-Seed,https://entrackr.com/2022/02/ian-backs-agri-biotech-startup-greenpod-labs/,Indian Angel Network;Rockstart
Glance,$200.00,14/02/2022,India,Content,Series D,https://entrackr.com/2022/02/jio-platforms-to-invest-200-mn-in-google-backed-glance/,Jio Platforms
Gold's Gym India,,14/02/2022,India,Fitness,Acquisition,https://entrackr.com/2022/02/tata-digital-backed-cult-fit-acquires-golds-gym-fitness-chain-across-india/,Cult.fit
BiteSpeed,$1.90,14/02/2022,India,SaaS,Seed,https://entrackr.com/2022/02/sequoias-surge-leads-seed-round-in-saas-startup-bitespeed/,Sequoia India Surge;First Cheque;Whiteboard Capital;Kunal Shah;Ankur Nagpal
BBLUNT,$16.05,14/02/2022,India,Ecommerce,Acquisition,https://inc42.com/buzz/mamaearth-acquires-haircare-brand-salon-business-of-bblunt-from-godrej-consumers/,Honasa Consumer;Honasa Consumer (Mamaearth)
Glaucus Supply Chain,,14/02/2022,India,Logistics,Acquisition,https://inc42.com/buzz/shiprocket-goes-for-fourth-acquisition-this-year-buys-supply-chain-management-startup-glaucus/,Shiprocket
Gold's Gym India (F2 Fun & Fitness India),,14/02/2022,India,Health Tech,Acquisition,https://inc42.com/buzz/fitness-unicorn-cult-fit-acquires-indian-business-of-golds-gym/,Cult.fit
Spocto,$47.90,14/02/2022,India,Fintech,Acquisition,https://inc42.com/buzz/credavenue-acquires-spocto-to-offer-data-driven-tech-first-services-to-lenders-borrowers/,CredAvenue
Juno Learning,$1.35,15/02/2022,Gurugram,Edtech,Acquisition,https://inc42.com/buzz/info-edge-acquires-25-stake-in-edtech-startup-juno-learning-for-inr-11-25-cr/,Info Edge
Join Ventures,$10.00,15/02/2022,Mumbai,Ecommerce,Series A,https://inc42.com/buzz/celebration-focussed-house-of-brands-join-ventures-raises-10-mn-to-expand-dark-stores-network/,DSG Consumer Partners;Rajiv Dadlani Group;9Unicorns;Venture Catalysts
Bold Care,,15/02/2022,Mumbai,Ecommerce,Pre-Series A,https://inc42.com/buzz/mens-health-wellness-startup-bold-care-secures-funding-to-expand-overseas/,Sharrp Ventures;NB Ventures;Huddle;Anthill Ventures;Stanford Angels & Entrepreneurs;Shiprocket
Data Sutram,$2.07,16/02/2022,Kolkata,Enterprise Tech,,https://inc42.com/buzz/location-intelligence-startup-datasutram-secures-funding-from-varanium-capital-yatra-angel-network/,Varanium Capital;Yatra Angel Network;DMI Finance Sparkle Fund;White Ventures;Seeders LLP;IIFL Fintech Fund;Indian Angel Network
Aquatein,,16/02/2022,Mumbai,Ecommerce,Undisclosed,https://inc42.com/buzz/suniel-shetty-invests-in-fitness-startup-aquatein-joins-as-brand-ambassador-too/,Suniel Shetty
Stellapps,,17/02/2022,Bengaluru,Agritech,Undisclosed,https://inc42.com/buzz/dairytech-startup-stellapps-secures-funding-from-idh-farmfit-to-boost-farmer-net-income/,IDH FarmFit
ElasticRun,$330.00,17/02/2022,India,Ecommerce,Series E,https://inc42.com/buzz/exclusive-elasticrun-turns-unicorn-with-300-mn-funding-from-softbank/,SoftBank Vision Fund 2;Goldman Sachs Asset Management;Prosus Ventures;Chimera Investment;Innoven Capital
Propelld,$35.00,18/02/2022,India,Fintech,Series B,https://inc42.com/buzz/propelld-bags-35-mn-funding-from-westbridge-capital-others/,WestBridge Capital;Stellaris Venture Partners;India Quotient
