Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Swiggy,$15.00,24/09/2016,Bengaluru,E-commerce,Series D,https://inc42.com/buzz/funding-galore-112/,US-based venture capital firm;Accel India
Parentlane,,23/09/2016,Bengaluru,Healthtech,Undisclosed,https://inc42.com/flash-feed/parentlane-raises-funding/,Capier Investments
Tuplejump,,23/09/2016,Hyderabad,Deeptech & AI,Acquisition,https://inc42.com/flash-feed/apple-acquires-tuplejump/,Apple
Cloudcherry,$6.00,23/09/2016,India,SaaS,Series A,https://inc42.com/flash-feed/cloudcherry-secures-funding/,Vertex Ventures;IDG Ventures;Cisco Investments
ProcurePack,,26/09/2016,Gurugram,SaaS,Acquisition,https://inc42.com/flash-feed/xeeva-acquires-procurepack/,Xeeva
Sparse Labs,,26/09/2016,India,Logistics,Acquisition,https://inc42.com/flash-feed/zomato-acquires-sparse-labs/,Zomato
Let's Barter,,26/09/2016,Delhi,E-commerce,Undisclosed,https://inc42.com/flash-feed/scale-ventures-invests-lets-barter/,Scale Ventures;Sanjay Choudhary
Eventjini,,27/09/2016,Chennai,Media & Entertainment,Acquisition,https://inc42.com/flash-feed/eventjini-funding/,Procam International
Perceptron Learning Solutions,,27/09/2016,Bengaluru,Edtech,Acquisition,https://inc42.com/flash-feed/niit-acquires-perceptron/,NIIT
InMotion,,28/09/2016,Noida,Fintech,Pre-Series A,https://inc42.com/flash-feed/inmotion-secures-funding/,Prashant Tandon;Gaurav Agarwal;Gaurav Bhogle;Shrishti Sahu;Shantanu Mathur;Prabhat Agarwal
Beardo,$0.50,28/09/2016,Ahmedabad,E-commerce,Seed,https://inc42.com/buzz/beardo-raises-500k/,Venture Catalysts;Raj Vazirani;Siddharth Somaiya;Anuj Golecha;Apoorv Ranjan Sharma
Druva,$51.00,28/09/2016,Pune,Enterprise Tech,,https://inc42.com/flash-feed/druva-raises-51-mn/,Sequoia Capital India;EDBI;Blue Cloud Ventures;Hercules Capital;NTT Finance;Nexus Venture Partners;Tenaya Capital
InstaCar,$1.00,28/09/2016,Indore,EV & Mobility,Seed,https://inc42.com/flash-feed/instacar-seed-funding/,Swastika Co Ltd
PromOn,$0.01,29/09/2016,Delhi,E-commerce,Bridge,https://inc42.com/flash-feed/promon-now-capital-funding/,Now Capital
Fastudent,,29/09/2016,Noida,Edtech,Pre-Series A,https://inc42.com/flash-feed/fastudent-funding/,Kanwaljit Singh;Ajay Lakhotia;Pavan Ongole;Ashish Gupta
Kalaage,,29/09/2016,India,Media & Entertainment,Undisclosed,https://inc42.com/flash-feed/kalaage-funding-rain/,Rajasthan Angel Innovators Network
FDI,$1.00,28/09/2016,Indore,General,Seed,https://yourstory.com/2016/09/instacar-funding,
CloudCherry,$6.00,24/09/2016,Chennai,SaaS,Seed,https://yourstory.com/2016/09/cloudcherry-funding,Vertex Ventures;Cisco Investments;IDG Ventures India participated in this round;IDG Ventures India
