Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Collateral Medical,$3.50,29/05/2017,Mumbai,Healthtech,Series A,https://inc42.com/buzz/collateral-medical-funding-carpediem-capital/,Sequoia Capital
Snapdeal,$17.50,29/05/2017,India,E-commerce,,https://inc42.com/buzz/snapdeal-founders-nexus-funding/,
Supr Daily,$1.50,30/05/2017,Mumbai,E-commerce,Seed,https://inc42.com/buzz/supr-daily-y-combinator-funding/,Soma Capital;Great Oaks Ventures;122 West Ventures;RedMart founder Roger Egan
Magicpin,$7.00,31/05/2017,Gurugram,Foodtech,Series B,https://inc42.com/buzz/magicpin-series-b-lightspeed/,Srivatsan Rajan
Dartboard Analytics,,29/05/2017,India,Deeptech & AI,Acquisition,https://inc42.com/buzz/indiqus-technologies-acquires-dartboard-analytics/,IndiQus Technologies
LoadShare,,30/05/2017,Bengaluru,Logistics,Pre-Series A,https://inc42.com/buzz/matrix-loadshare-logistics-funding/,Matrix Partners India
OSSCube,,02/06/2017,India,SaaS,Acquisition,https://inc42.com/buzz/happiest-minds-acquires-osscube/,Happiest Minds Technologies
BGF,$11.38,01/06/2017,India,Web3 & Crypto,,https://entrackr.com/2017/06/bitcoin-blockchain-bgf-fund-raises-95-cr/,
Swiggy,$80.00,30/05/2017,Bengaluru,General,Series C,https://entrackr.com/2017/05/swiggy-raises-80-million-naspers-existing-funders/,Naspers;SAIF Partners India;Bessemer Venture Partners;Harmony Partners;Norwest Venture Partners
Leadsquared,,31/05/2017,Bengaluru,SaaS,Undisclosed,https://entrackr.com/2017/05/appdynamics-jyoti-bansal-invests-leadsquared/,Jyoti Bansal
