Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
ZONE,$54.00,20/03/2023,Vadodara,EV & Mobility,Debt,https://inc42.com/buzz/ev-charging-startup-chargezone-raises-54-mn-in-funding-round-led-by-blueorchard/,BlueOrchard
BharatPe,$35.93,22/03/2023,Mumbai,Fintech,,https://inc42.com/buzz/bharatpe-picks-up-majority-stake-in-trillion-loans-looks-to-bolster-lending-play/,
Mystifly,$8.00,23/03/2023,Bengaluru,SaaS,Series B,https://inc42.com/buzz/saas-startup-mystifly-bags-funding-from-csvp-to-close-pre-series-b-round-at-8-mn/,
Stashfin,$100.00,23/03/2023,India,Fintech,Series C,https://inc42.com/buzz/fintech-startup-stashfin-secures-100-mn-debt-to-drive-growth-scale-credit-access/,
Uravu Labs,$2.30,24/03/2023,India,Deeptech & AI,Pre-Seed,https://entrackr.com/2023/03/deeptech-startup-uravu-labs-raises-2-3-mn-in-seed-round/,Special Invest in 2021
Doqfy,$0.90,23/03/2023,Bengaluru,SaaS,Pre-Series A,https://entrackr.com/2023/03/contract-execution-platform-doqfy-raises-rs-7-5-cr-in-pre-series-a-round/,Turbostart;Pentathlon VC;Archana Priyadarshini
HiYo,$0.49,23/03/2023,India,D2C,Acquisition,https://entrackr.com/2023/03/d2c-startup-hiyo-secures-500k/,Yash Garg;HiYo plans to launch at least one more brand this calendar year
Uravu Labs,$20.00,23/03/2023,Bengaluru,Deeptech & AI,Seed,https://yourstory.com/2023/03/uravu-labs-hiyo-nocap-rforrabbit-raise-capital,
Read IndusGo,$11.98,21/03/2023,Noida,SaaS,Pre-Seed,https://yourstory.com/2023/03/indusgo-fretbox-and-doqfy-raise-funding,JSS STEP;India Accelerator
Pro Football Network,$1.80,23/03/2023,USA,Sports Media,Acquisition,https://entrackr.com/2023/03/sportskeeda-parent-acquires-majority-stake-in-pro-football-network/,Absolute Sports;Nazara Technologies
Reveal HealthTech,$4.00,23/03/2023,India,Healthtech,,https://entrackr.com/2023/03/reveal-healthtech-raises-4-mn-from-w-health-ventures/,W Health Ventures
Sorted,$5.00,22/03/2023,India,Agritech,Seed,https://entrackr.com/2023/03/anant-goels-sorted-scoops-up-over-5-mn-in-ongoing-seed-round/,Beenext;White Venture Capital;NB Ventures;Kunal Bahl;Rohit Bansal
Sukino Healthcare Solutions,$5.99,21/03/2023,Bengaluru,Healthcare,Series A,https://entrackr.com/2023/03/sukino-healthcare-solutions-raises-rs-50-cr-in-series-a-round/,Stakeboat Capital
Knowledge Planet,,20/03/2023,India,Edtech,Acquisition,https://inc42.com/buzz/westbridge-backed-physicswallah-acquires-k-12-edtech-startup-knowledge-planet/,PhysicsWallah
MITRA,,20/03/2023,India,Agritech,Acquisition,https://inc42.com/buzz/mm-acquires-100-stake-in-agritech-startup-mitra/,Mahindra & Mahindra
Pickright Technologies,,21/03/2023,Bengaluru,Fintech,Acquisition,https://inc42.com/buzz/pag-backed-nuvama-wealth-acquires-wealthtech-startup-pickright/,Nuvama Wealth
IndusGo,$1.20,21/03/2023,India,Travel Tech,,https://inc42.com/buzz/car-rental-startup-indusgo-secures-12-1-mn-to-add-1000-vehicles-to-its-fleet/,Indus Motors
Pro Football Network,$1.82,22/03/2023,India,Media & Entertainment,Acquisition,https://inc42.com/buzz/nazara-subsidiary-sportskeeda-to-acquire-majority-stake-in-us-based-pro-football-network/,Sportskeeda
Lenskart,$500.00,24/03/2023,India,Ecommerce,,https://inc42.com/buzz/adia-gets-ccis-green-light-to-acquire-a-10-stake-in-eyewear-unicorn-lenskart/,ADIA
Stashfin,$100.00,25/03/2023,India,Fintech,Debt,https://inc42.com/buzz/funding-galore-from-stashfin-to-mystifly-indian-startups-raised-180-mn-this-week/,InnoVen Capital;Trifecta
CHARGE+ZONE,$54.00,21/03/2023,India,EV,Series A,https://yourstory.com/2023/03/startup-news-and-updates-daily-roundup-march-21-2023,
Sukino Healthcare Solutions,$5.99,20/03/2023,Bengaluru,Healthcare,Series A,https://yourstory.com/2023/03/sukino-healthcare-solutions-raises-rs-50-crore-series-a-funding-stakeboat-capital,Stakeboat Capital
MITRA Agro Equipment,,20/03/2023,India,Agritech,Acquisition,https://yourstory.com/2023/03/startup-news-and-updates-daily-roundup-march-20-2023,Mahindra & Mahindra
