Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
PeeSafe,$1.00,12/06/2017,Gurugram,General,,https://inc42.com/buzz/peesafe-raises-1-mn-redcliffe-hygiene/,
Ola,$50.00,14/06/2017,Bengaluru,EV & Mobility,,https://inc42.com/buzz/ola-funding-tekne-capital-50mn/,
Enabler Shopmatic,$5.70,14/06/2017,Bengaluru,E-commerce,Acquisition,https://inc42.com/buzz/ecommerce-shopmatic-funding/,Singapore-based fund Spring Seeds Capital Pte Ltd
Leapwired,,16/06/2017,Gurugram,Edtech,Acquisition,https://inc42.com/buzz/growthex-acquires-edtech-leapwired/,GrowthEx
SVG Media,,16/06/2017,Gurugram,Media & Entertainment,Acquisition,https://inc42.com/buzz/svg-media-digital-marketing-acquisitions/,Dentsu Aegis Network
MoneyTap,$9.00,15/06/2017,Bengaluru,Fintech,Series A,https://entrackr.com/2017/06/fintech-startup-moneytap-raises-fund-build-credit-line-worth-rs-300-year-end/,Sequoia India;New Enterprise Associates (NEA);Prime Venture Partners
Healthquad,$8.98,15/06/2017,India,General,,https://entrackr.com/2017/06/healthcare-centric-vc-firm-healthquad-closes-rs-75-crore-corpus/,
Shopmatic,$5.70,13/06/2017,India,E-commerce,Series A,https://entrackr.com/2017/06/e-commerce-enabler-shopmatic-raises-5-7-million-series-funding/,ACP Pte Ltd;SPRING SEEDS Capital Pte
Momo,$5.27,13/06/2017,Kolkata,Foodtech,Series B,https://entrackr.com/2017/06/wow-momo-raises-rs-44-cr-rs-230-cr-valuation-lighthouse-funds/,
Goodera,$5.50,13/06/2017,Bengaluru,General,Series A,https://entrackr.com/2017/06/csr-platform-goodera-raises-5-5m-nexus-ventures-others/,Nexus Ventures
HyperTrack,$7.00,13/06/2017,India,General,Series A,https://entrackr.com/2017/06/hypertrack-raises-7-million/,Nexus Venture Partners;Founders Fund
Vista Rooms,$0.60,12/06/2017,Mumbai,General,Pre-Series A,https://entrackr.com/2017/06/vista-rooms-raises-funds-google-india-head-freshworks-ceo/,Indian Angel Network;LetsVenture
Redcliffe Hygiene,$1.00,12/06/2017,Mumbai,General,,https://entrackr.com/2017/06/redcliffe-hygiene-raises-1-million/,Govind Rajan
Coverfox,$11.50,12/06/2017,Mumbai,Fintech,Seed,https://entrackr.com/2017/06/insurance-brokerage-startup-coverfox-raises-15m-us-insurer-transamerica/,US insurer Transamerica
Lendingkart Finance,$5.99,12/06/2017,India,General,Debt,https://entrackr.com/2017/06/lendingkart-finance-raises-rs-50-crore-yes-bank/,
VanityCask,,14/06/2017,Mumbai,E-commerce,Seed,https://entrackr.com/2017/06/beauty-discovery-platform-vanitycask-raises-seed-fund-rb-investment/,RB Investments
Boxx.ai,$0.50,12/06/2017,Bengaluru,Deeptech & AI,Seed,https://entrackr.com/2017/06/ai-startup-boxx-ai-raises-fund-expand-product-portfolio/,Unicorn India Ventures;Venky Krishnakumar;Suresh Shankar;Vivek Bhargava
Lendingkart,$5.99,12/06/2017,Bengaluru,General,Debt,https://yourstory.com/2017/06/lendingkart-raises-rs-50cr-from-yes-bank,
Goomo,$50.00,11/06/2017,Bengaluru,Fintech,Pre-Series A,https://yourstory.com/2017/06/funding-roundup-startups-goomo,Blume Ventures
