Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Bluecopa,$2.30,03/08/2022,India,Fintech,Seed,https://inc42.com/buzz/fintech-saas-startup-bluecopa-raises-funding-to-help-high-growth-companies-automate-finance-operations/,Blume Ventures;Krish Subramanian;Rajaraman Santhanam from Chargebee;Rohit Chennamaneni from Darwinbox;Asad Khan;Jay Singh from Lambdatest participated in the round
Credit Fair,$10.00,03/08/2022,India,Fintech,Seed,https://inc42.com/buzz/fintech-startup-credit-fair-raises-10-mn-to-offer-customised-lending-solutions-to-consumers-small-businesses/,LC Nueva’s fund–LC Nueva AIF;Capital A;Sattva Family Office;Nitesh Damani of Khel Group;Nikhil Chandra Gupta;Neeraj Goenka;Alok Agarwal;InCred Finance;Vivriti Capital;Caspian Impact
Twid,$12.00,03/08/2022,Bengaluru,Fintech,Series A,https://inc42.com/buzz/fintech-twid-12-mn-expand-reward-points-based-payment-network/,Rakuten Capital;Google;BEENEXT;Sequoia;JAFCO Asia;January Capital;ICMG Partners;Reddy Futures Fund;Sequoia India’s Surge
Jify,$10.00,03/08/2022,India,Fintech,Series A,https://inc42.com/buzz/fintech-startup-jify-bags-10-mn-to-strengthen-product-offering-ramp-up-customer-acquisition/,Accel;Nexus Venture Partners
CredAble,$9.00,04/08/2022,India,Fintech,,https://inc42.com/buzz/fintech-startup-credable-raises-9-mn-to-offer-credit-solutions-to-smes-large-businesses/,
Mn,$118.00,30/07/2022,India,Logistics,Acquisition,https://inc42.com/buzz/funding-galore-118-mn-raised-by-indian-startups-this-week/,
Tartan,$6.00,01/08/2022,India,Fintech,Pre-Series A,https://inc42.com/buzz/fintech-startup-tartan-raises-funding-to-scale-its-go-to-market-operations/,500 Global;InfoEdge Ventures;Naval Ravikant-backed AngelList Quant Fund
VOIZ,$1.80,02/08/2022,Bengaluru,Edtech,Seed,https://inc42.com/buzz/grey-collar-recruitment-startup-voiz-raises-funding-aims-to-generate-3-mn-employment-in-next-5-years/,Omidyar Network India
Xpressbees,$23.35,02/08/2022,India,E-commerce,Series F,https://inc42.com/buzz/logistics-unicorn-xpressbees-bags-inr-195-cr-from-avendus-future-leaders-fund-ii/,
Ottonomy,$3.30,02/08/2022,India,EV & Mobility,Pre-Seed,https://inc42.com/buzz/robotic-mobility-startup-ottonomy-raises-seed-funding-to-ramp-up-hiring-strengthen-partnerships/,Kinetic ventures;Branded Hospitality Ventures;Connetic Ventures;Addverb Technologies’ Sangeet Kumar;India;Singapore;Middle-East;Europe
River,$11.00,03/08/2022,Bengaluru,EV & Mobility,,https://inc42.com/buzz/ev-startup-river-raises-11-mn-to-launch-electric-scooter-next-year/,Lowcarbon Capital;Uber;Instagram;Toyota Ventures
WebEngage,$20.00,02/08/2022,India,SaaS,Series B,https://inc42.com/buzz/b2b-saas-startup-webengage-raises-20-mn-to-offer-marketing-automation-solutions/,Singularity Growth Opportunities Fund;SWC Global;India Quotient;Blume Ventures;IAN Fund
MobiKwik,$4.19,04/08/2022,Gurugram,Fintech,Debt,https://entrackr.com/2022/08/exclusive-mobikwik-secures-debt-from-blacksoil-amid-ipo-delay/,
Brevistay,$0.36,03/08/2022,India,General,Seed,https://entrackr.com/2022/08/hospitality-startup-brevistay-raises-seed-round-from-ian/,Indian Angel Network in its seed round;IAN lead investors Uday Chattarjeee;Hari Balasubramniam;Sri Prakash
Dezerv,$100.00,03/08/2022,Mumbai,General,Series A,https://entrackr.com/2022/08/exclusive-dezerv-raises-fresh-funds-at-100-mn-valuation/,Accel Partners;Elevation;Matrix
River,$11.00,02/08/2022,Bengaluru,EV & Mobility,Series A,https://entrackr.com/2022/08/ev-startup-river-raises-13-mn-in-series-a-round/,Chris Sacca's Lowercarbon Capital in participation
Emitrr,$4.00,02/08/2022,India,SaaS,Pre-Series A,https://entrackr.com/2022/08/saas-platform-emitrr-raises-4-mn-in-pre-series-a-round/,Chiratae Ventures;Venture Highway;FortyTwo VC;Axilor Ventures
WebEngage,$16.00,01/08/2022,Mumbai,SaaS,Series B,https://entrackr.com/2022/08/exclusive-saas-platform-webengage-raises-16-mn-in-ongoing-series-b-round/,SWC Global Fund;Singularity Ventures in June this year
Roadcast,$2.00,29/07/2022,Delhi,Logistics,,https://entrackr.com/2022/07/roadcast-raises-2-mn-from-jubilant-foodworks/,
Spare8,$13.00,29/07/2022,Mumbai,General,Pre-Seed,https://entrackr.com/2022/07/spare8-raises-pre-seed-round-led-by-2am-vc-others/,2am VC
Fabrication Bazar,$0.84,04/08/2022,India,Manufacturing,Seed,https://entrackr.com/2022/08/inflection-point-ventures-infuses-rs-7-cr-in-fabrication-bazar/,Inflection Point Ventures
Progcap,$40.00,02/08/2022,India,Fintech,Series C,https://entrackr.com/2022/08/decoding-google-backed-progcaps-series-c-round-and-cap-table/,Google;Tiger Global;Creation Investment;Sequoia Capital
Exampur,,02/08/2022,Noida,Edtech,Acquisition,https://entrackr.com/2022/08/upgrad-acquires-edtech-startup-exampur/,upGrad
EVIFY,$0.10,01/08/2022,Surat,EV,Seed,https://entrackr.com/2022/08/ev-logistics-startup-evify-raises-seed-round/,We Founder Circle;Gaurav Singhvi;Gaurav Juneja;Saurabh Agrawal;Rajeev Goel
Jai Kisan,$50.00,30/07/2022,India,Fintech,Series B,https://entrackr.com/2022/07/funding-and-acquisitions-in-indian-startups-this-week-25-july-30-july/,
Bizongo,$25.00,04/08/2022,India,Enterprise Tech,,https://inc42.com/buzz/tiger-global-backed-packaging-startup-bizongo-secures-25-mn-to-offer-supply-chain-and-credit-solutions-to-businesses/,Mars Growth Capital;Liquidity Group
Exponent Energy,,04/08/2022,Bengaluru,Clean Tech,Undisclosed,https://inc42.com/buzz/ev-startup-exponent-energy-bags-funding-from-pawan-munjal-to-set-up-100-charging-stations-in-bengaluru/,Pawan Munjal family office
Multipie,,03/08/2022,India,Fintech,Acquisition,https://inc42.com/buzz/icicidirect-acquires-investment-content-community-startup-multipie/,
Indus OS (OSLabs),,29/07/2022,India,Consumer Tech,Acquisition,https://inc42.com/buzz/phonepe-acquires-content-app-discovery-platform-oslabs-after-a-year-long-wait/,PhonePe
Jai Kisan,$50.00,29/07/2022,India,Fintech,Series B,https://inc42.com/buzz/rural-fintech-jai-kisan-bags-18-mn-to-offer-more-financing-solutions-to-indian-farmers/,GMO Venture Partners;Yara Growth Ventures;DG Daiwa Ventures;Blume Ventures;Arkam Ventures;Mirae Asset;Snow Leopard Ventures;Northern Arc;Alteria Capital;MAS Financial
Logicserve Digital (LS Digital),$9.58,31/07/2022,India,Marketing,,https://inc42.com/buzz/digital-marketing-platform-logicserve-bags-inr-80-cr-funding-rebrands-as-ls-digital/,Florintree Advisors
Generic Aadhaar,,01/08/2022,India,Health Tech,Pre-Series A,https://inc42.com/buzz/ratan-tata-backed-pharma-startup-generic-aadhaar-bags-funding-to-offer-low-cost-generic-medicines/,Beyond Next Ventures
