Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Shuttl,$20.00,20/04/2019,Mumbai,Edtech,Pre-Series A,https://entrackr.com/2019/04/funding-indian-startups-week-08-april-13-april/,Flipkart co-founder Binny Bansal;Eight Roads;US-based venture capital firm New Atlantic Ventures;VAMM ventures
Routematic,$2.50,16/04/2019,Bengaluru,Logistics,Pre-Series A,https://entrackr.com/2019/04/emplyees-transport-routematic-funding/,VAMM ventures
Kuvera,$4.50,16/04/2019,Bengaluru,Fintech,Series A,https://entrackr.com/2019/04/kuvera-4-5-mn-funding-eight-roads/,Eight Roads
MyHealthcare,$3.00,19/04/2019,Mumbai,General,Series A,https://yourstory.com/2019/04/myhealthcare-funding-sixth-sense-ventures,
