Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Souled Store,$16.17,29/03/2023,India,E-commerce,,https://inc42.com/buzz/the-souled-store-raises-inr-135-cr-to-open-200-stores-across-india/,Xponentia Capital;RPSG Capital
LoanTap,$2.60,29/03/2023,India,Fintech,Debt,https://inc42.com/buzz/blacksoil-backed-loantap-acquires-lendingtech-startup-unofin/,
EazyDiner,$4.79,29/03/2023,India,Foodtech,,https://inc42.com/buzz/eazydiner-bags-inr-40-cr-funding-to-scale-presence-in-india-middle-east/,
Vitraya,$1.50,29/03/2023,India,Deeptech & AI,Series A,https://inc42.com/buzz/insurtech-startup-vitraya-bags-funding-to-upgrade-technology-for-healthcare-segment/,StartupXSeed
Protocol Polytrade,$3.80,31/03/2023,India,Web3 & Crypto,Seed,https://inc42.com/buzz/web3-protocol-polytrade-bags-funding-integrate-defi-traditional-finance/,Alpha Wave;Matrix Partners;Polygon Ventures;CoinSwitch Ventures;Singularity Ventures;GTM Ventures
Bee,$0.60,31/03/2023,Mumbai,General,Pre-Series A,https://entrackr.com/2023/03/ixambee-raises-rs-5-cr-in-pre-series-a-led-by-inflection-point-ventures/,Inflection Point Ventures;Inflection Point Ventures (IPV)
DesignCafe,$4.80,29/03/2023,Bengaluru,General,Series B,https://entrackr.com/2023/03/designcafe-raises-4-8-mn-in-follow-on-series-b-round/,WestBridge Capital;WestBridge;Fireside Ventures;Sixth Sense Ventures
UpGrad,$35.93,29/03/2023,Mumbai,Edtech,,https://entrackr.com/2023/03/upgrad-raises-rs-300-cr-from-existing-backers/,
Nimbbl,$3.50,28/03/2023,Mumbai,Fintech,Pre-Series A,https://entrackr.com/2023/03/fintech-startup-nimbbl-raises-3-5-mn-from-groww-sequoia-and-others/,
Fashinza,$30.00,28/03/2023,Gurugram,General,,https://entrackr.com/2023/03/fashinza-secures-30-mn-from-mars-growth-capital-and-liquidity-group/,
Nourish You,$0.06,29/03/2023,India,General,Seed,https://yourstory.com/2023/03/funding-roundup-upgrad-souled-store-vitraya-late-stage-deals-edtech,
Grad,$35.93,29/03/2023,India,Edtech,,https://yourstory.com/2023/03/upgrad-raises-rs-300-cr-in-internal-rights-issue-ronnie-screwvala-temasek,
Kikibix,$0.30,31/03/2023,Gurugram,D2C,,https://entrackr.com/2023/03/snacking-startup-kikibix-raises-300k-from-blume-and-others/,Blume Founders Fund;AngelList;Varun Alagh;Vaibhav Kapoor;Garima Sawhney;Prashant Pitti;Lalit Keshre;Asish Mohapatra;Ruchi Kalra;Abhishek Sharma
Vitraya Technologies,$5.00,29/03/2023,Mohali,Healthtech,Series A,https://entrackr.com/2023/03/startupxseed-leads-5-mn-series-a-round-in-vitraya-technologies/,StartupXSeed;Season Two Ventures;Cactus;Xceedance;Mankind Pharma Family Office
GoMechanic,,29/03/2023,India,Auto Tech,Acquisition,https://entrackr.com/2023/03/embattled-gomechanic-acquired-by-lifelong-group-led-servizzy/,Servizzy;Lifelong Group
Unofin,,29/03/2023,India,Fintech,Acquisition,https://entrackr.com/2023/03/digital-lending-firm-loantap-acquires-unofin/,LoanTap
Plutus,$0.28,28/03/2023,India,Creator Economy,Pre-Seed,https://entrackr.com/2023/03/plutus-raises-pre-seed-of-280k-from-campus-fund/,Campus Fund;CIIE IIM Ahmedabad;Shruti;Alagu Preiyannan
Kabaddi Adda,,27/03/2023,India,Sports Tech,Acquisition,https://entrackr.com/2023/03/sportzcraazy-acquires-kabaddi-platform-kabaddi-adda/,Sportzcraazy
Third Unicorn,$5.00,27/03/2023,India,Gaming,Seed,https://inc42.com/features/exclusive-inside-ashneer-grovers-third-unicorn-of-crickpes-funding-future-insurance-play-more/,Badshah;Haldiram's family office;Venture Catalysts
Design Cafe,$4.80,29/03/2023,India,Real Estate Tech,Series B,https://inc42.com/buzz/westbridge-capital-backed-design-cafe-bags-4-8-mn-funding-to-extend-runway/,WestBridge Capital;Mirabilis Investment Trust;Alteria Capital;Sixth Sense Ventures
Capt Zack,,30/03/2023,India,D2C,Acquisition,https://inc42.com/buzz/d2c-pet-care-brand-wiggles-acquires-rival-capt-zack/,Wiggles
MK Printpack,,27/03/2023,India,Packaging,Acquisition,https://yourstory.com/2023/03/warburg-pincus-parksons-packaging-acquires-mk-printpack,Parksons Packaging
