Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Mn,$519.00,22/01/2022,India,Fintech,Series C,https://inc42.com/infocus/funding-galore/funding-galore-over-519-mn-raised-by-indian-startups-this-week/,Asia Impact SA;Lightrock India;Quona Capital
Hospals,$3.50,24/01/2022,India,General,Pre-Series A,https://inc42.com/buzz/hospals-bags-3-5-mn-to-expand-cross-border-medical-care-network/,Inflection Point Ventures;9Unicorns;Singapore-based Wavemaker among others;Kunal Shah;Sanjeev Mishra also participated in the round
Ola Electric,$200.00,24/01/2022,India,EV & Mobility,,https://inc42.com/buzz/ola-electric-raises-200-mn-at-5-bn-valuation-plans-venturing-into-4w-ev/,Tekne Private Ventures;Alpine Opportunity Fund;Edelweiss among others
StanPlus,$20.00,24/01/2022,India,General,Series A,https://inc42.com/buzz/stanplus-raises-20-mn-to-develop-emergency-medical-system/,
Smartron,$200.00,25/01/2022,Hyderabad,EV & Mobility,,https://inc42.com/buzz/smartron-secures-200-mn-share-subscription-facility-from-gem-group/,
Vajro,$8.50,25/01/2022,Chennai,E-commerce,Series A,https://inc42.com/buzz/vajro-raises-8-5-mn-to-help-ecommerce-stores-build-mobile-apps/,
Flint,$5.10,26/01/2022,Bengaluru,Fintech,Seed,https://inc42.com/buzz/crypto-startup-flint-raises-5-1-mn-seed-funding-from-sequoia-coinbase-ventures/,Sequoia Capital India;GFC;CRED’s Kunal Shah;Polygon’s Sandeep Naliwal;Comedian Tanmay Bhat
Content Engineers,$50.00,26/01/2022,India,General,,https://inc42.com/buzz/content-engineers-raises-50-mn-to-create-digital-media-ips-for-theatres-otts/,
Peakperformer,$3.00,25/01/2022,Bengaluru,General,Seed,https://inc42.com/buzz/peakperformer-raises-funds-to-launch-more-enterprise-modules/,Sequoia India’s Surge;Antler India;Blume Founders Fund
Kissht,$11.98,27/01/2022,Mumbai,Fintech,Debt,https://inc42.com/buzz/fintech-startup-kissht-raises-inr-100-cr-to-expand-offerings-to-10-mn-borrowers/,Trifecta Capital;Northern Arc
Skyroot,$17.00,27/01/2022,Hyderabad,Spacetech,Series A,https://inc42.com/buzz/spacetech-startup-skyroot-bags-funding-from-early-google-backer-ram-shriram-neeraj-arora-others/,Ram Shriram’ VC firm Sherpalo Ventures;Wami Capital;Greenko founders;Solar Industries India;Neeraj Arora
Our Food,$6.00,27/01/2022,Hyderabad,Agritech,,https://inc42.com/buzz/hyderabad-based-our-food-raises-6-mn-to-increase-crop-portfolio/,3Lines Venture Capital;C4D Asia Fund
Wise,$5.00,27/01/2022,India,Edtech,,https://inc42.com/buzz/wise-raises-5-mn-in-fresh-funding-to-help-educators-reach-out-to-global-audiences/,James Beshara;VC funds including Weekend Fund;Shrug Capital;RemoteFirst Capital;Taurus VC;Operators Partners
Aqgromalin,$5.25,27/01/2022,Chennai,Agritech,Pre-Series A,https://inc42.com/buzz/aqgromalin-raises-5-25-mn-to-solve-animal-protein-supply-chain-issues/,Sequoia India’s Surge;Omnivore Partners India;Zephyr Peacock India
MoooFarm,$2.40,28/01/2022,India,General,Seed,https://inc42.com/buzz/mooofarm-raises-funding-from-accel-to-help-small-scale-dairy-farmers/,Accel India
Moglix,$250.00,28/01/2022,Noida,Logistics,Series F,https://entrackr.com/2022/01/moglix-raises-250-mn-at-2-6-bn-valuation/,Tiger Global;Alpha Wave Global;Hong Kong-based Ward Ferry
Swag,$3.50,28/01/2022,India,General,Pre-Series A,https://entrackr.com/2022/01/social-swag-raises-3-5-mn-in-pre-series-a/,IMEF;Unicorn India Ventures
Skyroot Aerospace,$4.50,27/01/2022,Hyderabad,Spacetech,Series B,https://entrackr.com/2022/01/skyroot-aerospace-raises-4-5-mn-in-bridge-round/,Ram Shriram's Sherpalo Ventures;Google's founding board member Ram Shriram's Sherpalo Ventures
