Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
UpScalio,$15.00,15/03/2022,Delhi,E-commerce,Series B,https://inc42.com/buzz/ecommerce-roll-up-startup-upscalio-raises-15-mn-from-gulf-islamic-investments-others/,Gulf Islamic Investments (GII);Northern Arc;Unity Bank
Feedo,$12.00,15/03/2022,India,General,Series A,https://inc42.com/buzz/hrtech-startup-infeedo-secures-12-mn-from-jungle-ventures-tiger-global-aims-quadrupling-revenue/,Jungle Ventures;Tiger Global;CHROs
Curelink,$3.50,16/03/2022,Gurugram,Healthtech,Seed,https://inc42.com/buzz/healthtech-startup-curelink-raises-3-5-mn-seed-funding-from-elevation-capital-venture-highway/,Elevation Capital;Venture Highway;Digital Sparrow Capital;Ankush Sachdeva;Farid Ahsan (Sharechat);Gaurav Agarwal;Prashant Tandon (Tata 1mg);Rajat K Dhawan (McKinsey);Rohit MA (Cloudnine);Ritesh Malik (Innov8);Harsh Mahajan (Mahajan Imaging)
LILA Games,$10.00,16/03/2022,India,Gaming,Series A,https://inc42.com/buzz/f2p-gaming-startup-lila-games-raises-10-mn-for-product-development/,Rainfall;Galaxy Interactive;Sequoia Capital;KRAFTON;CEO of Polygon Studios;Tanay Tayal;CEO of Moonfrog Labs;Thomas Vu;Ryan Wyatt
Looppanel,$1.00,17/03/2022,Delhi,General,Pre-Seed,https://entrackr.com/2022/03/looppanel-raises-1mn-in-pre-seed-round/,Speciale Invest
Curelink,$3.50,17/03/2022,Gurugram,Healthtech,Seed,https://entrackr.com/2022/03/curelink-raises-3-5-mn-in-seed-round/,Elevation Capital;Venture Highway;Digital Sparrow Capital;Ankush Sachdeva;Farid Ahsan;Gaurav Agarwal;Prashant Tandon;Rajat K Dhawan;Rohit M A;Ritesh Malik;Harsh Mahajan
Ekincare,$15.00,17/03/2022,Hyderabad,General,Series B,https://entrackr.com/2022/03/ekincare-raises-15-mn-in-series-b-round/,HealthQuad;Sabre Partners;Eight Roads Ventures;Siana Capital;Endiya Partners
Growfitter,$1.00,16/03/2022,Mumbai,Web3 & Crypto,Pre-Series A,https://entrackr.com/2022/03/growfitter-raises-1-mn-in-pre-series-a-led-by-ipv/,IPV;Inflection Point Ventures;First Port Capital;Mumbai Angels;Startup Angel Network;DevX Accelerator Fund;Blockchain Founders Fund (Singapore);JPIN
Cosmofeed,$1.50,16/03/2022,Gurugram,General,Seed,https://entrackr.com/2022/03/cosmofeed-raises-1-5-mn-in-seed-round/,Singapore-based investment holding company Silk Bridge Partners (SBP)
Licious,$150.00,15/03/2022,Bengaluru,D2C,Series F,https://entrackr.com/2022/03/licious-raises-150-mn-in-ext-series-f-round/,Singapore-based Amansa Capital;Singapore-based Amansa Capital for business growth;Kotak PE;Axis Growth Avenues AIF - I
Xeno,$1.60,14/03/2022,New Delhi,E-commerce,Seed,https://entrackr.com/2022/03/xeno-raises-1-6-mn-from-klaviyo-investors/,
Amagi,$95.00,16/03/2022,Bengaluru,SaaS,,https://entrackr.com/2022/03/profitable-company-amagi-turns-unicorn-after-95-mn-round-led-by-accel/,Accel;Norwest Venture Partners;Avataar Ventures
Xpedize,,16/03/2022,Gurugram,Fintech,Acquisition,https://entrackr.com/2022/03/tax-filing-platform-clear-acquires-xpedizexpedize/,Clear
IZealiant Technologies,,16/03/2022,Pune,Fintech,Acquisition,https://entrackr.com/2022/03/razorpay-acquires-fintech-startup-izealiant-technologies/,Razorpay
Addverb,$132.00,14/03/2022,Delhi NCR,Robotics,Acquisition,https://inc42.com/startups/addverbs-secret-sauce-why-reliance-invested-132-mn-in-this-indian-robotics-startup/,Reliance
RevFin,$11.98,14/03/2022,India,Fintech,Debt,https://inc42.com/buzz/ev-focused-lending-startup-revfin-bags-inr-100-cr-in-debt-for-business-expansion/,Northern Arc;LiquiLoans;Shell Foundation
Ferns N Petals,$23.95,12/03/2022,India,Ecommerce,,https://inc42.com/buzz/ferns-n-petals-bags-inr-200-cr-funding-from-lighthouse-to-boost-ecommerce-play/,Lighthouse
Thirdware,$42.00,14/03/2022,Mumbai,Enterprise Tech,Acquisition,https://inc42.com/buzz/tech-mahindra-to-acquire-enterprise-application-startup-thirdware-for-42-mn/,Tech Mahindra
BlueStone,$30.00,15/03/2022,India,Ecommerce,,https://inc42.com/buzz/hero-enterprise-backs-jewellery-startup-bluestone-with-30-mn-funding-valuation-reaches-410-mn/,Hero Enterprise;Sunil Kant Munjal
GPS Renewables,,16/03/2022,Bengaluru,Cleantech,Series B,https://inc42.com/buzz/bioenergy-technology-startup-gps-renewables-raises-funds-from-neev-fund-ii-by-sbicap-ventures/,Neev Fund II;SBICap Ventures
Scribble Data,$2.20,16/03/2022,Bengaluru,Fintech,Seed,https://inc42.com/buzz/data-engineering-startup-scribble-data-raises-funding-from-blume-ventures/,Blume Ventures;Log X Ventures;Sprout Venture Partners
Shipskart,$2.70,16/03/2022,India,Ecommerce,Series A,https://inc42.com/buzz/maritime-procurement-startup-shipskart-raises-funding/,Trail Mix Ventures;Hermes Offshore;Tradeworks.vc;Motion Ventures;Eternia Investments
5C Network,,17/03/2022,Bengaluru,Healthtech,Undisclosed,https://inc42.com/buzz/digital-diagnostic-startup-5c-network-receives-investment-from-tata-1mg-others/,Tata 1mg;Vikram Vuppala;Om Manchanda;Viren Prasad Shetty
Amagi,$95.00,17/03/2022,India,SaaS,,https://inc42.com/buzz/amagi-joins-the-unicorn-club-after-raising-95-mn/,Accel;Norwest Venture Partners;Avataar Ventures
Mukunda Foods,$5.00,16/03/2022,India,Foodtech,,https://inc42.com/buzz/zomato-acquires-16-66-stake-in-food-robotics-startup-mukunda-for-5-mn/,Zomato
