Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Udaan,$500.00,05/10/2019,India,General,Series A,https://entrackr.com/2019/10/funding-indian-startups-week-sep-oct/,Info Edge;Lightbox VC;Tencent in its ongoing Series D round;Steadview Capital;California-based dental plan system -Delta Dental;Avana Capital
Greytip,$4.13,04/10/2019,Bengaluru,SaaS,Series B,https://entrackr.com/2019/10/greytip-raises-rs-34-5-cr-info-edge/,Info Edge;Sequoia Capital
Dunzo,$45.00,04/10/2019,Bengaluru,E-commerce,Series D,https://entrackr.com/2019/10/dunzo-closes-45-mn-series-d-round-led-by-lightbox/,Lightbox;Lightbox VC
CareStack,$28.00,02/10/2019,Kochi,E-commerce,Series A,https://entrackr.com/2019/10/carestack-raises-28-mn-series-b-round/,Steadview Capital;California-based dental plan system -Delta Dental;California-based dental plan system - Delta Dental;Abhi Krishna;CareStack had recently tied up;Eight Roads Ventures;Accel Partners
Khatabook,$25.00,01/10/2019,Bengaluru,General,Series A,https://entrackr.com/2019/10/khatabook-bags-25-mn-from-ggv-capital-tencent-sequoia/,Anand Chandrasekharan;Deep Nishar;Gokul Rajaram;Kunal Shah
Fyle,$4.50,04/10/2019,India,General,Series A,https://yourstory.com/2019/10/funding-expense-management-platform-fyle-steadview-capital-tiger-global,Tiger Global Management
ContractPodAi,$55.00,03/10/2019,Mumbai,Deeptech & AI,Series A,https://yourstory.com/2019/10/legal-tech-startup-contractpodai-funding-insight-partners,Insight Partners;US-based;Pantera Capital
CareStack,$28.00,03/10/2019,Thiruvananthapuram,SaaS,Series B,https://yourstory.com/2019/10/funding-cloud-platform-dentists-carestack-steadview-capital-dental,Steadview Capital;Delta Dental of California
FinBox,$15.00,03/10/2019,Bengaluru,Fintech,Pre-Series A,https://yourstory.com/2019/10/funding-fintech-startup-finbox-raises-pre-series-a-arali-ventures,Arali Ventures;Founder of financial services company;Fintellix
Shubh Loans,$4.07,03/10/2019,Bengaluru,General,,https://yourstory.com/2019/10/funding-shubh-loans-omidyar-network-saama-capital-beenext-sri-capital,Omidyar Network India
