Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Nazara,$51.00,01/12/2017,Mumbai,Gaming,Acquisition,https://inc42.com/buzz/mobile-gaming-nazara-funding/,IIFL Special Opportunities Fund;Nazara Will Use The Funding To Strengthen Its Position Further In The Emerging Markets
Stanza Living,$2.00,28/11/2017,New Delhi,Real Estate Tech,,https://inc42.com/buzz/stanza-living-matrix-accel-funding/,Matrix Partners;Accel Partners
Chumbak,$13.10,28/11/2017,Bengaluru,E-commerce,,https://inc42.com/buzz/chumbak-gaja-capital-funding-lifestyle/,Gaja Capital;Matrix Partners India;Seedfund
Acadgild,$10.00,30/11/2017,Bengaluru,Edtech,Acquisition,https://inc42.com/buzz/acadgild-aeon-learning-acquisition-edtech/,AEON Learning
Passion Gaming,$3.75,29/11/2017,Chandigarh,Media & Entertainment,,https://inc42.com/buzz/passion-gaming-stride-funding/,Stride Gaming
Befikr,$2.00,01/12/2017,Delhi NCR,Consumer Services,Series A,https://inc42.com/buzz/hyperlocal-befikr-funding/,
Graphic India,$5.00,02/12/2017,Bengaluru,General,Seed,https://entrackr.com/2017/12/graphic-india-5-million-liquid-comics/,Liquid Comics;Liquid Comics LLC;CA Media LP;3One4 Capital;Julian Farrior;Start Media LLC
Daily Ninja,$1.50,01/12/2017,Gurugram,General,Pre-Series A,https://entrackr.com/2017/12/daily-ninja-secures-1-5-mn/,Y Combinator;Lenovo Capital;Blume Ventures
Nazara Games,$39.52,01/12/2017,Mumbai,Gaming,Acquisition,https://entrackr.com/2017/12/nazara-games-raises-rs-330-cr-iifl/,
CleanMax Solar,$15.00,30/11/2017,Mumbai,General,Seed,https://entrackr.com/2017/11/cleanmax-solar-15-mn-ifc/,Globevestor
Rummy Passion,$3.75,29/11/2017,Chandigarh,Gaming,Seed,https://entrackr.com/2017/11/rummy-passion-funding-stride-gaming/,
Holachef,$1.38,01/12/2017,Mumbai,Foodtech,,https://entrackr.com/2017/12/holachef-secures-rs-9-crore/,Innoven Capital;IPI Technolab
Mobiefit,$1.35,28/11/2017,India,Healthtech,Pre-Series A,https://entrackr.com/2017/11/mobiefit-1-35-mn-fund/,NB Ventures;MediAssist
CleanMax Solar,$15.00,01/12/2017,India,Fintech,Pre-Series A,https://yourstory.com/2017/12/funding-roundup-cleantech-wins-funding-game-week,Matrix Partners;Accel Partners;Dubai- based fund NB Ventures
Gul Panag,$1.35,30/11/2017,Goa,Healthtech,Pre-Series A,https://yourstory.com/2017/11/mobiefit-m-fitness-startup-backed-gul-panag-raises-pre-series-funding-1-35m,Dubai-based fund NB Ventures;MediAssist;Mahesh Murthy;Gul Panag
Chumbak,$10.18,29/11/2017,Bengaluru,General,Debt,https://yourstory.com/2017/11/international-expansion-sight-chumbak-raises-rs-85-cr-gaja-capital-others,Gaja Capital;Matrix Partners India;Seedfund;Narayan Ramachandran (former country head of Morgan Stanley)
