Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Porter,$5.50,24/06/2015,Mumbai,E-commerce,Series A,https://inc42.com/flash-feed/theporter-funding/,
Indix,$15.00,24/06/2015,Chennai,SaaS,Series B,https://inc42.com/flash-feed/indix-grabs-15-mn/,Nokia Growth Partners;Nexus Venture Partners;Avalon Ventures
Retention.ai,$0.50,24/06/2015,Bangalore,SaaS,,https://inc42.com/flash-feed/retention-ai-raises-502k/,Mercury Fund;Anshu Sharma;Pratyush Prasanna;Robert Winters
Luxe Real Estate,,24/06/2015,Singapore,Real Estate Tech,Acquisition,https://inc42.com/flash-feed/squareyards-acquires-luxe-real-estate/,Square Yards
LabInApp,,24/06/2015,Hubli,Edtech,Seed,https://inc42.com/flash-feed/labinapp-funding/,Unitus Seed Fund;Sylvant Advisors
Zinka Logistics,$6.00,25/06/2015,Bangalore,Logistics,,https://inc42.com/flash-feed/zinka-logistics-raises-6-mn/,Accel Partners;Flipkart
Homeobuy,,25/06/2015,India,Healthtech,Acquisition,https://inc42.com/flash-feed/1mg-acquires-homebody/,1MG
CreditMantri,$2.50,26/06/2015,Chennai,Fintech,Series A,https://inc42.com/flash-feed/creditmantri-series-a/,IDG Ventures India;Elevar Equity;Accion Venture Lab
Market Motive,$10.00,26/06/2015,India,Edtech,Acquisition,https://inc42.com/buzz/simplilearn-acquires-market-motive-for-10-mn/,Simplilearn
GetMyPeon,$0.25,27/06/2015,Mumbai,Logistics,Seed,https://inc42.com/buzz/funding-galore-48/,
UrbanClap,$10.00,29/06/2015,Gurgaon,Consumer Services,,https://inc42.com/flash-feed/urbanclap-funding/,SAIF Partners;Accel Partners
AdWyze,$1.00,29/06/2015,Bangalore,SaaS,,https://inc42.com/flash-feed/adwyze-raises-1-mn/,Mape Advisory
RailYatri,,30/06/2015,Noida,Travel Tech,Pre-Series A,https://inc42.com/flash-feed/railyatri-pre-series-a-funding/,Helion Venture Partners;Omidyar Network;Blume Ventures;Ujam
Flatchat,$2.50,30/06/2015,India,Real Estate Tech,,https://inc42.com/flash-feed/app-for-finding-flatmates-flatchat-grabs-2-5-mn-from-commonfloor/,CommonFloor
Unikrn,$7.00,30/06/2015,India,Media & Entertainment,Series A,https://inc42.com/flash-feed/unikrn-raises-7-mn/,Binary Capital;Mark Cuban
Zimmber,$0.40,29/06/2015,Mumbai,Consumer Services,Seed,https://inc42.com/flash-feed/zimmber-funding/,Naveen Tewari
MyCFO,$1.50,30/06/2015,Mumbai,Fintech,Series A,https://inc42.com/flash-feed/mycfo-funding/,Sameer Koticha
Sigrid Education,,24/06/2015,Noida,Edtech,Undisclosed,https://inc42.com/flash-feed/sigrid-funding/,Oliphans Capital
Stayglad,,29/06/2015,Bangalore,Consumer Services,Undisclosed,https://inc42.com/flash-feed/stayglad-angel-round/,Tracxn Labs;Sahil Barua
CreditMantri,$2.50,27/06/2015,Chennai,General,Series A,https://yourstory.com/2015/06/creditmantri-raises-2-5-million-funding,
Buttercups,,29/06/2015,Bengaluru,E-commerce,Undisclosed,https://yourstory.com/2015/06/buttercups-angel-funding,Kanwaljit Singh;Angie Mahtaney
Market Motive,$10.00,25/06/2015,Silicon Valley,Edtech,Acquisition,https://yourstory.com/2015/06/simplilearn-acquires-market-motive,Simplilearn
Sigrid,,24/06/2015,India,Edtech,Undisclosed,https://yourstory.com/2015/06/sigrid-funding,Oliphans Capital
SmarterSMB,$0.04,29/06/2015,Bangalore,SaaS,Seed,https://inc42.com/buzz/utthishta-yekum-fund-investment/,Utthishta Yekum Fund
