Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Jupiter,$24.00,04/11/2019,Mumbai,Fintech,Seed,https://entrackr.com/2019/11/jitendta-guptas-jupiter-raises-24-mn-seed-fund/,
Fireflies,$4.19,29/10/2019,Hyderabad,Deeptech & AI,,https://yourstory.com/2019/10/funding-startup-fireflies-enterprise-assistant-canaan-partners,Canaan Partners
MX Player,$110.00,30/10/2019,India,General,Acquisition,https://yourstory.com/2019/10/funding-startup-mx-player-tencent-times-internet-videos,
Fisdom,$11.00,30/10/2019,Bengaluru,Fintech,,https://yourstory.com/2019/10/funding-payu-fisdom-fintech-wealthtech-startup,PayU
ElasticRun,$40.00,30/10/2019,Pune,Logistics,,https://yourstory.com/2019/10/funding-logistics-startup-elasticrun-prosus-ventures,Prosus Ventures;Avataar Ventures;Kalaari Capital
Infurnia,$5.00,31/10/2019,Bengaluru,General,Seed,https://yourstory.com/2019/10/funding-startup-architecture-interior-design-software-infurnia,
Shuttl,$18.00,31/10/2019,Bengaluru,EV & Mobility,Series B,https://yourstory.com/2019/10/funding-startup-shuttl-seriesc-toyota-smbc-trust-japan,Proof;Sequoia Capital;Lightspeed;SCI Investments;Times Intern;Amazon;Dentsu
Smartworks,$25.00,31/10/2019,Chandigarh,General,Series A,https://yourstory.com/2019/10/co-working-smartworks-funding-keppel-land,
BeYouPlus,$3.20,04/11/2019,Delhi,General,Series A,https://yourstory.com/2019/11/funding-alert-healthcare-startup-beyouplus,IvyCap Ventures;Madison Capital
Lokal,$3.00,04/11/2019,Bengaluru,E-commerce,Series A,https://yourstory.com/2019/11/funding-alert-startup-lokal-y-combinator,
Times Group,$20.00,29/10/2019,Delhi,Edtech,Series F,https://inc42.com/buzz/times-group-picks-up-20-mn-warrant-in-grocery-unicorn-grofers/,SoftBank
Shuttl,$42.00,29/10/2019,Bengaluru,General,Series A,https://inc42.com/buzz/shuttl-raises-42-mn-from-toyota-group-smbc-trust-bank/,Lightspeed Ventures;Sequoia Capital
Fasal,$1.60,30/10/2019,Bengaluru,Agritech,Seed,https://inc42.com/buzz/funding-agritech-startup-fasal-rakes-in-1-6-mn-investment-to-scale-up-ai/,Omnivore;Wavemaker Partners;Zeroth;Artesian Ventures from Australia
MX Player,$255.02,02/11/2019,Gurugram,E-commerce,Series C,https://inc42.com/buzz/top-indian-startup-funding-galore-128-october/,Tencent;Times Internet;Prosus Ventures (formerly Naspers Ventures);Avataar Ventures;Kalaari Capital
Freshworks,$150.00,04/11/2019,Chennai,SaaS,,https://entrackr.com/2019/11/freshworks-150-mn-fresh-round-valuation/,Google;Sequoia Capital;Accel Partners
Livspace,$30.00,30/10/2019,Bengaluru,E-commerce,,https://yourstory.com/2019/10/livspace-invests-singapore-apac-expansion,
Airim,,31/10/2019,Bengaluru,SaaS,Acquisition,https://yourstory.com/2019/10/saas-startup-whatfix-acquires-airim,Whatfix
Lawyered,$0.10,31/10/2019,Delhi,SaaS,,https://yourstory.com/2019/10/funding-legal-tech-startup-lawyered-angel-investors,Pramendra Tomar;Ratish Pandey;Munish Bhatia;Sumit Aggarwal
Intergrow,$11.30,31/10/2019,Kerala,Foodtech,,https://yourstory.com/2019/10/funding-alert-investcorp-intergrow-kerala,Investcorp
Xeraphin,,03/11/2019,Delhi,Fintech,Acquisition,https://inc42.com/buzz/droom-acquires-nbfc-xeraphin-to-boost-droom-credit-business/,Droom
Amica Financial Technologies,$24.00,04/11/2019,Mumbai,Fintech,,https://inc42.com/buzz/jitendra-guptas-amica-secures-24-mn-from-sequoia-matrix-others/,Sequoia Capital;Matrix Partners;Greyhound Capital;3One4 Capital;Rocket Internet
Woovly,$2.50,01/11/2019,Bengaluru,E-commerce,Pre-Series A,https://inc42.com/buzz/social-discovery-platform-woovly-bags-2-5-mn-funding-in-pre-series-a-round/,Duane Park;SOSV;Xelpmoc Design & Tech
peAR Technologies,,04/11/2019,Mumbai,Deeptech & AI,Seed,https://inc42.com/buzz/deeptech-startup-pear-raises-funds-from-venture-catalysts-to-scale-its-3d-restaurant-menus/,Venture Catalysts
